,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,3.55,3.53,3.57,0.5666,-1.1204,-0.5571,2897081.74,1951065.88,2268774.69,0.5564770648636364,0.47453878772727276,0.5085745937727273,0.41238627878636364,0.36194037571022725,0.28103135189545453,-1.1268
20190111,3.51,3.55,3.53,-1.1268,0.5666,-1.1204,2737707.73,2897081.74,1951065.88,0.6252339036818182,0.5564770648636364,0.47453878772727276,0.47105049680243505,0.41238627878636364,0.36194037571022725,0.5698
20190114,3.53,3.51,3.55,0.5698,-1.1268,0.5666,2062165.94,2737707.73,2897081.74,0.5775102447272727,0.6556315958011363,0.6307895519318181,0.6416194173195454,0.5853290667197998,0.544264445312013,-0.8499
20190115,3.5,3.53,3.51,-0.8499,0.5698,-1.1268,1659132.96,2062165.94,2737707.73,0.4821283962102273,0.5775102447272727,0.6556315958011363,0.62579361156875,0.6416194173195454,0.5853290667197998,0.8571
20190116,3.53,3.5,3.53,0.8571,-0.8499,0.5698,1730631.12,1659132.96,2062165.94,0.39949928175,0.4821283962102273,0.5775102447272727,0.6572922094980953,0.62579361156875,0.6416194173195454,-0.2833
20190117,3.52,3.53,3.5,-0.2833,0.8571,-0.8499,1489836.26,1730631.12,1659132.96,0.32906973693749997,0.39949928175,0.4821283962102273,0.6669807011244643,0.6572922094980953,0.62579361156875,0.2841
20190118,3.53,3.52,3.53,0.2841,-0.2833,0.8571,2493697.7,1489836.26,1730631.12,0.35867936807142853,0.32906973693749997,0.39949928175,0.6768247109511039,0.6669807011244643,0.6572922094980953,1.4164
20190121,3.58,3.53,3.52,1.4164,0.2841,-0.2833,3531703.42,2493697.7,1489836.26,0.15810929343749996,0.21833458617857138,0.2940982282232142,0.6102531601202572,0.7101590146935178,0.7009394845735369,0.0
20190122,3.58,3.58,3.53,0.0,1.4164,0.2841,2913045.5,3531703.42,2493697.7,0.11583259349999997,0.15810929343749996,0.21833458617857138,0.5615494827287548,0.6102531601202572,0.7101590146935178,-0.2793
20190123,3.57,3.58,3.58,-0.2793,0.0,1.4164,1361119.72,2913045.5,3531703.42,0.23044243392857142,0.11583259349999997,0.15810929343749996,0.5491486300238323,0.5615494827287548,0.6102531601202572,0.5602
20190124,3.59,3.57,3.58,0.5602,-0.2793,0.0,1654534.0,1361119.72,2913045.5,0.36077876228571426,0.23044243392857142,0.11583259349999997,0.5217311343067396,0.5491486300238323,0.5615494827287548,0.5571
20190125,3.61,3.59,3.57,0.5571,0.5602,-0.2793,1558177.32,1654534.0,1361119.72,0.3403942900714285,0.36077876228571426,0.23044243392857142,0.5477959282158099,0.5217311343067396,0.5491486300238323,1.662
20190128,3.67,3.61,3.59,1.662,0.5571,0.5602,2761011.5,1558177.32,1654534.0,0.45892170675,0.5084943169285714,0.4465905042857143,0.60235432413,0.5701041444961902,0.5495037300560435,0.2725
20190129,3.68,3.67,3.61,0.2725,1.662,0.5571,2207072.45,2761011.5,1558177.32,0.420111774,0.45892170675,0.5084943169285714,0.6611054580970834,0.60235432413,0.5701041444961902,0.2717
20190130,3.69,3.68,3.67,0.2717,0.2725,1.662,1652011.03,2207072.45,2761011.5,0.48867174074999997,0.420111774,0.45892170675,0.6904457885622728,0.6611054580970834,0.60235432413,-0.271
