,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,3.84,3.85,3.88,1.3089,-0.5208,0.0,793144.68,419345.2,567953.01,0.2553799605,0.14207107319999998,0.1486516143,0.5615864983709956,0.5249004995795454,0.46097596400454544,-0.7752
20190111,3.88,3.84,3.85,-0.7752,1.3089,-0.5208,499760.91,793144.68,419345.2,0.24140541045,0.2553799605,0.14207107319999998,0.6183911606288962,0.5615864983709956,0.5249004995795454,0.7813
20190114,3.86,3.88,3.84,0.7813,-0.7752,1.3089,428159.33,499760.91,793144.68,0.19952254169999997,0.19683157605,0.2218892823,0.7344039290347784,0.6905213944473234,0.6498823669222122,-0.2584
20190115,3.88,3.86,3.88,-0.2584,0.7813,-0.7752,804831.83,428159.33,499760.91,0.16304877674999996,0.19952254169999997,0.19683157605,0.7169257575777586,0.7344039290347784,0.6905213944473234,1.0363
20190116,3.88,3.88,3.86,1.0363,-0.2584,0.7813,568212.91,804831.83,428159.33,0.130643565,0.16304877674999996,0.19952254169999997,0.7166975345162644,0.7169257575777586,0.7344039290347784,0.5128
20190117,3.91,3.88,3.88,0.5128,1.0363,-0.2584,513385.25,568212.91,804831.83,0.09300963075,0.130643565,0.16304877674999996,0.7038329781429741,0.7166975345162644,0.7169257575777586,-0.5102
20190118,3.95,3.91,3.88,-0.5102,0.5128,1.0363,623278.42,513385.25,568212.91,0.19398910199999997,0.09300963075,0.130643565,0.7293906764141379,0.7038329781429741,0.7166975345162644,1.2821
20190121,3.94,3.95,3.91,1.2821,-0.5102,0.5128,593793.67,623278.42,513385.25,0.12777555525,0.138191064,0.16887025649999998,0.6465185420561181,0.7387868140957098,0.7365215075003438,0.5063
20190122,3.94,3.94,3.95,0.5063,1.2821,-0.5102,469804.93,593793.67,623278.42,0.23593478099999998,0.12777555525,0.138191064,0.6703392017393066,0.6465185420561181,0.7387868140957098,-2.0151
20190123,3.96,3.94,3.94,-2.0151,0.5063,1.2821,624865.64,469804.93,593793.67,0.21810068475,0.23593478099999998,0.12777555525,0.6248010178801156,0.6703392017393066,0.6465185420561181,0.5141
20190124,3.89,3.96,3.94,0.5141,-2.0151,0.5063,529771.86,624865.64,469804.93,0.29806371,0.21810068475,0.23593478099999998,0.6013580974340125,0.6248010178801156,0.6703392017393066,-0.5115
20190125,3.92,3.89,3.96,-0.5115,0.5141,-2.0151,487706.77,529771.86,624865.64,0.27511839375,0.29806371,0.21810068475,0.6303016811013226,0.6013580974340125,0.6248010178801156,2.3136
20190128,3.92,3.92,3.89,2.3136,-0.5115,0.5141,935244.65,487706.77,529771.86,0.2472163284,0.29354695222500005,0.3312226255,0.6663736868669118,0.6234167857296282,0.6095648446556817,-1.005
20190129,4.0,3.92,3.92,-1.005,2.3136,-0.5115,663990.61,935244.65,487706.77,0.22980476927500004,0.2472163284,0.29354695222500005,0.7041861038675324,0.6663736868669118,0.6234167857296282,1.5228
20190130,3.95,4.0,3.92,1.5228,-1.005,2.3136,614235.92,663990.61,935244.65,0.31252962404999995,0.22980476927500004,0.2472163284,0.6566409286403139,0.7041861038675324,0.6663736868669118,-0.25
20190131,4.0,3.95,4.0,-0.25,1.5228,-1.005,561184.16,614235.92,663990.61,0.28408503255,0.31252962404999995,0.22980476927500004,0.6936226389717531,0.6566409286403139,0.7041861038675324,2.5063
20190201,4.01,4.0,3.95,2.5063,-0.25,1.5228,1124813.37,561184.16,614235.92,0.23170431085,0.28408503255,0.31252962404999995,0.6614043146182901,0.6936226389717531,0.6566409286403139,-0.489
20190211,4.11,4.01,4.0,-0.489,2.5063,-0.25,771131.23,1124813.37,561184.16,0.0,0.0,0.0028418261999999988,0.6948965767214286,0.6170927577809524,0.5988141240058441,0.4914
20190212,4.04,4.11,4.01,0.4914,-0.489,2.5063,791510.11,771131.23,1124813.37,0.0,0.0,0.0,0.7555061116,0.6948965767214286,0.6170927577809524,-1.2225
