,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,27.41,27.32,27.1,0.7678,-1.5124,2.5859,232331.89,177956.96,328784.47,0.26280623285999993,0.15302039708999998,0.1626899485,0.3460958733280952,0.34561898667071433,0.3338748202785714,1.1248
20190111,27.49,27.41,27.32,1.1248,0.7678,-1.5124,158126.55,232331.89,177956.96,0.24492418680999994,0.26280623285999993,0.15302039708999998,0.3943721193677597,0.3460958733280952,0.34561898667071433,-0.2153
20190114,27.53,27.49,27.41,-0.2153,1.1248,0.7678,114377.0,158126.55,232331.89,0.15557534373999998,0.19130874225,0.22109168993999995,0.4775676659372727,0.38425375599053024,0.44189833213402596,0.9709
20190115,27.85,27.53,27.49,0.9709,-0.2153,1.1248,240396.01,114377.0,158126.55,0.11389149440999999,0.15557534373999998,0.19130874225,0.5258682213456818,0.4775676659372727,0.38425375599053024,-1.2821
20190116,27.99,27.85,27.53,-1.2821,0.9709,-0.2153,167004.33,240396.01,114377.0,0.09399047675999997,0.11389149440999999,0.15557534373999998,0.5947406763890909,0.5258682213456818,0.4775676659372727,-0.2886
20190117,27.8,27.99,27.85,-0.2886,-1.2821,0.9709,147800.79,167004.33,240396.01,0.07078027328999999,0.09399047675999997,0.11389149440999999,0.6385130278575,0.5947406763890909,0.5258682213456818,0.0362
20190118,27.8,27.8,27.99,0.0362,-0.2886,-1.2821,112931.09,147800.79,167004.33,0.19056353399999995,0.07078027328999999,0.09399047675999997,0.6175317138509091,0.6385130278575,0.5947406763890909,1.6998
20190121,27.95,27.8,27.8,1.6998,0.0362,-0.2886,195347.13,112931.09,147800.79,0.27416496149999997,0.14045054399999998,0.16819953449999997,0.5417373281250649,0.633892312837013,0.6094550724628895,-2.1693
20190122,28.16,27.95,27.8,-2.1693,1.6998,0.0362,225429.42,195347.13,112931.09,0.2625134805,0.27416496149999997,0.14045054399999998,0.49621722431,0.5417373281250649,0.633892312837013,-2.5082
20190123,27.5,28.16,27.95,-2.5082,-2.1693,1.6998,269777.96,225429.42,195347.13,0.3710351555,0.2625134805,0.27416496149999997,0.5101937794077273,0.49621722431,0.5417373281250649,1.4169
20190124,26.99,27.5,28.16,1.4169,-2.5082,-2.1693,175287.12,269777.96,225429.42,0.3830258385,0.3710351555,0.2625134805,0.4799578182614285,0.5101937794077273,0.49621722431,1.6176
20190125,27.25,26.99,27.5,1.6176,1.4169,-2.5082,160647.79,175287.12,269777.96,0.349992885,0.3830258385,0.3710351555,0.4480630391336039,0.4799578182614285,0.5101937794077273,-0.1447
20190128,27.96,27.25,26.99,-0.1447,1.6176,1.4169,163147.4,160647.79,175287.12,0.1969364265,0.256948179,0.3079669985,0.489622769804099,0.5062492527233766,0.43940843104987826,1.087
20190129,27.65,27.96,27.25,1.087,-0.1447,1.6176,147036.52,163147.4,160647.79,0.15865529750000001,0.1969364265,0.256948179,0.49385850153243005,0.489622769804099,0.5062492527233766,0.3584
20190130,27.8,27.65,27.96,0.3584,1.087,-0.1447,162999.5,147036.52,163147.4,0.11430728849999998,0.15865529750000001,0.1969364265,0.5296958569564467,0.49385850153243005,0.489622769804099,0.1429
20190131,27.93,27.8,27.65,0.1429,0.3584,1.087,129225.92,162999.5,147036.52,0.06389239949999997,0.11430728849999998,0.15865529750000001,0.584006586073951,0.5296958569564467,0.49385850153243005,-0.6419
20190201,28.1,27.93,27.8,-0.6419,0.1429,0.3584,120806.89,129225.92,162999.5,0.037026835999999994,0.06389239949999997,0.11430728849999998,0.5607202032964816,0.584006586073951,0.5296958569564467,1.0409
20190211,27.86,28.1,27.93,1.0409,-0.6419,0.1429,159700.81,120806.89,129225.92,0.1082982375,0.121294026,0.13140186150000002,0.7894544636571429,0.7265914208541209,0.6740521209556776,6.5719
20190212,28.2,27.86,28.1,6.5719,1.0409,-0.6419,485799.31,159700.81,120806.89,0.206981796,0.1082982375,0.121294026,0.7558074306416667,0.7894544636571429,0.7265914208541209,1.6
20190213,30.1,28.2,27.86,1.6,6.5719,1.0409,267615.43,485799.31,159700.81,0.1870644285,0.206981796,0.1082982375,0.7527119520266666,0.7558074306416667,0.7894544636571429,0.2625
