,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,28.13,27.2,27.16,3.4191,0.1473,4.8244,481812.35,298116.07,511259.72,0.16499424741,0.18081211164,0.11222776305000003,0.7506636827199413,0.6956048067776707,0.6360440087187055,0.711
20190111,28.33,28.13,27.2,0.711,3.4191,0.1473,348536.81,481812.35,298116.07,0.23680764935999998,0.16499424741,0.18081211164,0.7851819711030887,0.7506636827199413,0.6956048067776707,0.4236
20190114,28.45,28.33,28.13,0.4236,0.711,3.4191,252082.47,348536.81,481812.35,0.1615312377,0.1796991558,0.21135261849,0.8066307383623119,0.7981607364271222,0.7929551154985454,-1.5114
20190115,28.02,28.45,28.33,-1.5114,0.4236,0.711,199129.96,252082.47,348536.81,0.1390395522,0.1615312377,0.1796991558,0.8100062711963155,0.8066307383623119,0.7981607364271222,5.0321
20190116,29.43,28.02,28.45,5.0321,-1.5114,0.4236,459859.97,199129.96,252082.47,0.1557545243,0.1390395522,0.1615312377,0.8133151020072982,0.8100062711963155,0.8066307383623119,-0.8495
20190117,29.18,29.43,28.02,-0.8495,5.0321,-1.5114,299587.89,459859.97,199129.96,0.20375018774999998,0.1557545243,0.1390395522,0.7722517643910385,0.8133151020072982,0.8100062711963155,-0.377
20190118,29.07,29.18,29.43,-0.377,-0.8495,5.0321,239281.8,299587.89,459859.97,0.17601398324999998,0.20375018774999998,0.1557545243,0.7484594519725369,0.7722517643910385,0.8133151020072982,1.3416
20190121,29.46,29.07,29.18,1.3416,-0.377,-0.8495,260384.44,239281.8,299587.89,0.09369462975,0.12017768325,0.14249683474999997,0.7044972348060082,0.7188232118727361,0.744885625381079,-0.5431
20190122,29.3,29.46,29.07,-0.5431,1.3416,-0.377,332637.72,260384.44,239281.8,0.08236555325,0.09369462975,0.12017768325,0.7132467667447527,0.7044972348060082,0.7188232118727361,-2.3891
20190123,28.6,29.3,29.46,-2.3891,-0.5431,1.3416,277975.46,332637.72,260384.44,0.19440887275,0.08236555325,0.09369462975,0.7414286364362087,0.7132467667447527,0.7044972348060082,-0.8392
20190124,28.36,28.6,29.3,-0.8392,-2.3891,-0.5431,210026.23,277975.46,332637.72,0.29225612325,0.19440887275,0.08236555325,0.7418832006882142,0.7414286364362087,0.7132467667447527,1.763
20190125,28.86,28.36,28.6,1.763,-0.8392,-2.3891,284329.2,210026.23,277975.46,0.26903302474999996,0.29225612325,0.19440887275,0.7559577701524207,0.7418832006882142,0.7414286364362087,1.5246
20190128,29.3,28.86,28.36,1.5246,1.763,-0.8392,276717.4,284329.2,210026.23,0.19094083499999998,0.210309225,0.23867026224999996,0.7340554220565019,0.7600068006739045,0.7626646338408773,0.7167
20190129,29.51,29.3,28.86,0.7167,1.5246,1.763,394286.23,276717.4,284329.2,0.166756885,0.19094083499999998,0.210309225,0.7574367608036701,0.7340554220565019,0.7600068006739045,-1.491
20190130,29.07,29.51,29.3,-1.491,0.7167,1.5246,320674.82,394286.23,276717.4,0.248986975,0.166756885,0.19094083499999998,0.7400573697496732,0.7574367608036701,0.7340554220565019,-1.7544
