,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,5.78,5.76,5.8,0.1739,-0.1736,-0.346,866810.87,433968.49,689127.14,0.30443525287499995,0.181240344,0.101866809375,0.5615864983709956,0.5249004995795454,0.46097596400454544,-0.3472
20190111,5.74,5.78,5.76,-0.3472,0.1739,-0.1736,571919.75,866810.87,433968.49,0.27981452137499996,0.30443525287499995,0.181240344,0.6183911606288962,0.5615864983709956,0.5249004995795454,0.5226
20190114,5.75,5.74,5.78,0.5226,-0.3472,0.1739,497088.25,571919.75,866810.87,0.2497374435,0.20825717587499998,0.24775516237499995,0.7344039290347784,0.6905213944473234,0.6498823669222122,-0.6932
20190115,5.77,5.75,5.74,-0.6932,0.5226,-0.3472,412829.44,497088.25,571919.75,0.226002415125,0.2497374435,0.20825717587499998,0.7169257575777586,0.7344039290347784,0.6905213944473234,1.0471
20190116,5.75,5.77,5.75,1.0471,-0.6932,0.5226,589142.85,412829.44,497088.25,0.196347324,0.226002415125,0.2497374435,0.7166975345162644,0.7169257575777586,0.7344039290347784,0.0
20190117,5.78,5.75,5.77,0.0,1.0471,-0.6932,350576.25,589142.85,412829.44,0.160772170125,0.196347324,0.226002415125,0.7038329781429741,0.7166975345162644,0.7169257575777586,-0.5181
20190118,5.8,5.78,5.75,-0.5181,0.0,1.0471,454065.85,350576.25,589142.85,0.17373340349999997,0.160772170125,0.196347324,0.7293906764141379,0.7038329781429741,0.7166975345162644,1.2153
20190121,5.8,5.8,5.78,1.2153,-0.5181,0.0,929721.6,454065.85,350576.25,0.36472486725,0.38104622850000003,0.27044710962499996,0.6465185420561181,0.7387868140957098,0.7365215075003438,-0.1715
20190122,5.85,5.8,5.8,-0.1715,1.2153,-0.5181,646976.56,929721.6,454065.85,0.34027884350000004,0.36472486725,0.38104622850000003,0.6703392017393066,0.6465185420561181,0.7387868140957098,-0.1718
20190123,5.84,5.85,5.8,-0.1718,-0.1715,1.2153,473494.44,646976.56,929721.6,0.30770815725,0.34027884350000004,0.36472486725,0.6248010178801156,0.6703392017393066,0.6465185420561181,0.1721
20190124,5.81,5.84,5.85,0.1721,-0.1718,-0.1715,416962.49,473494.44,646976.56,0.26701280850000003,0.30770815725,0.34027884350000004,0.6013580974340125,0.6248010178801156,0.6703392017393066,0.1718
20190125,5.84,5.81,5.84,0.1718,0.1721,-0.1718,565102.57,416962.49,473494.44,0.36731887399999996,0.26701280850000003,0.30770815725,0.6303016811013226,0.6013580974340125,0.6248010178801156,1.2007
20190128,5.85,5.84,5.81,1.2007,0.1718,0.1721,920161.55,565102.57,416962.49,0.20474214949999997,0.268592136,0.3227843775,0.6663736868669118,0.6234167857296282,0.6095648446556817,-0.339
20190129,5.92,5.85,5.84,-0.339,1.2007,0.1718,601111.41,920161.55,565102.57,0.15921465,0.20474214949999997,0.268592136,0.7041861038675324,0.6663736868669118,0.6234167857296282,0.8503
20190130,5.87,5.92,5.85,0.8503,-0.339,1.2007,701021.39,601111.41,920161.55,0.262110733725,0.15921465,0.20474214949999997,0.6566409286403139,0.7041861038675324,0.6663736868669118,-0.3373
20190131,5.91,5.87,5.92,-0.3373,0.8503,-0.339,522240.86,701021.39,601111.41,0.35775760365,0.262110733725,0.15921465,0.6936226389717531,0.6566409286403139,0.7041861038675324,0.6768
20190201,5.93,5.91,5.87,0.6768,-0.3373,0.8503,1194683.66,522240.86,701021.39,0.37723501132500004,0.35775760365,0.262110733725,0.6614043146182901,0.6936226389717531,0.6566409286403139,-0.1681
20190211,5.97,5.93,5.91,-0.1681,0.6768,-0.3373,811680.57,1194683.66,522240.86,0.021404255249999993,0.04881691409999998,0.09450024045,0.6948965767214286,0.6170927577809524,0.5988141240058441,0.0
20190212,5.91,5.97,5.93,0.0,-0.1681,0.6768,967673.48,811680.57,1194683.66,0.12357945,0.021404255249999993,0.04881691409999998,0.7555061116,0.6948965767214286,0.6170927577809524,0.0
