,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,5.45,5.42,5.46,0.9208,0.1845,-0.3676,294047.02,139156.15,162269.62,0.32563837679999996,0.3729635874,0.317028624,0.5615864983709956,0.5249004995795454,0.46097596400454544,-1.0949
20190111,5.46,5.45,5.42,-1.0949,0.9208,0.1845,181025.6,294047.02,139156.15,0.2684238522,0.32563837679999996,0.3729635874,0.6183911606288962,0.5615864983709956,0.5249004995795454,0.1845
20190114,5.44,5.46,5.45,0.1845,-1.0949,0.9208,117788.59,181025.6,294047.02,0.20129734259999998,0.245326063425,0.30685705109999994,0.7344039290347784,0.6905213944473234,0.6498823669222122,0.3683
20190115,5.43,5.44,5.46,0.3683,0.1845,-1.0949,224048.03,117788.59,181025.6,0.17704410172499999,0.20129734259999998,0.245326063425,0.7169257575777586,0.7344039290347784,0.6905213944473234,0.367
20190116,5.45,5.43,5.44,0.367,0.3683,0.1845,248946.37,224048.03,117788.59,0.14764692689999998,0.17704410172499999,0.20129734259999998,0.7166975345162644,0.7169257575777586,0.7344039290347784,-0.3656
20190117,5.46,5.45,5.43,-0.3656,0.367,0.3683,141311.31,248946.37,224048.03,0.23522144312499998,0.14764692689999998,0.17704410172499999,0.7038329781429741,0.7166975345162644,0.7169257575777586,0.1835
20190118,5.46,5.46,5.45,0.1835,-0.3656,0.367,322420.4,141311.31,248946.37,0.20635783274999997,0.23522144312499998,0.14764692689999998,0.7293906764141379,0.7038329781429741,0.7166975345162644,1.6484
20190121,5.48,5.46,5.46,1.6484,0.1835,-0.3656,423321.34,322420.4,141311.31,0.270334312125,0.14911855224999998,0.17105488912499997,0.6465185420561181,0.7387868140957098,0.7365215075003438,-0.5405
20190122,5.54,5.48,5.46,-0.5405,1.6484,0.1835,353606.9,423321.34,322420.4,0.23781481724999998,0.270334312125,0.14911855224999998,0.6703392017393066,0.6465185420561181,0.7387868140957098,-1.087
20190123,5.51,5.54,5.48,-1.087,-0.5405,1.6484,191838.3,353606.9,423321.34,0.21995094399999998,0.23781481724999998,0.270334312125,0.6248010178801156,0.6703392017393066,0.6465185420561181,0.1832
20190124,5.46,5.51,5.54,0.1832,-1.087,-0.5405,120593.96,191838.3,353606.9,0.26093715525,0.21995094399999998,0.23781481724999998,0.6013580974340125,0.6248010178801156,0.6703392017393066,0.0
20190125,5.48,5.46,5.51,0.0,0.1832,-1.087,202375.93,120593.96,191838.3,0.231637986,0.26093715525,0.21995094399999998,0.6303016811013226,0.6013580974340125,0.6248010178801156,1.4625
20190128,5.48,5.48,5.46,1.4625,0.0,0.1832,474513.47,202375.93,120593.96,0.39900839849999997,0.291605214,0.33566717125,0.6663736868669118,0.6234167857296282,0.6095648446556817,1.0811
20190129,5.57,5.48,5.48,1.0811,1.4625,0.0,426734.22,474513.47,202375.93,0.362716932,0.39900839849999997,0.291605214,0.7041861038675324,0.6663736868669118,0.6234167857296282,0.5348
20190130,5.6,5.57,5.48,0.5348,1.0811,1.4625,280245.89,426734.22,474513.47,0.45943229049999995,0.362716932,0.39900839849999997,0.6566409286403139,0.7041861038675324,0.6663736868669118,-0.3546
20190131,5.63,5.6,5.57,-0.3546,0.5348,1.0811,192855.37,280245.89,426734.22,0.402222753,0.45943229049999995,0.362716932,0.6936226389717531,0.6566409286403139,0.7041861038675324,1.7794
20190201,5.64,5.63,5.6,1.7794,-0.3546,0.5348,424316.96,192855.37,280245.89,0.48614103,0.402222753,0.45943229049999995,0.6614043146182901,0.6936226389717531,0.6566409286403139,-0.3497
20190211,5.74,5.64,5.63,-0.3497,1.7794,-0.3546,219119.38,424316.96,192855.37,0.023515121999999992,0.06786987749999998,0.10729515599999997,0.6948965767214286,0.6170927577809524,0.5988141240058441,0.0
20190212,5.68,5.74,5.64,0.0,-0.3497,1.7794,319892.76,219119.38,424316.96,0.0,0.023515121999999992,0.06786987749999998,0.7555061116,0.6948965767214286,0.6170927577809524,-0.1754
20190213,5.71,5.68,5.74,-0.1754,0.0,-0.3497,444172.65,319892.76,219119.38,0.0,0.0,0.023515121999999992,0.7934204699999999,0.7555061116,0.6948965767214286,1.2302
20190214,5.69,5.71,5.68,1.2302,-0.1754,0.0,427863.21,444172.65,319892.76,0.0,0.0,0.0,0.8291831134100649,0.7934204699999999,0.7555061116,-0.6944
20190215,5.74,5.69,5.71,-0.6944,1.2302,-0.1754,214892.86,427863.21,444172.65,0.0,0.0,0.0,0.8358424034714285,0.8291831134100649,0.7934204699999999,-1.7483
20190218,5.71,5.74,5.69,-1.7483,-0.6944,1.2302,296292.88,214892.86,427863.21,0.0,0.0,0.0,0.6382877996718831,0.7002069557680519,0.8184539606412338,1.7794
20190219,5.65,5.71,5.74,1.7794,-1.7483,-0.6944,531551.1,296292.88,214892.86,0.0,0.0,0.0,0.6062899217527272,0.6382877996718831,0.7002069557680519,0.8741
20190220,5.71,5.65,5.71,0.8741,1.7794,-1.7483,571546.66,531551.1,296292.88,0.0,0.0,0.0,0.6132601773644974,0.6062899217527272,0.6382877996718831,-0.1733
20190221,5.76,5.71,5.65,-0.1733,0.8741,1.7794,238804.77,571546.66,531551.1,0.10642117500000002,0.0,0.0,0.6175335598461998,0.6132601773644974,0.6062899217527272,-0.1736
20190222,5.75,5.76,5.71,-0.1736,-0.1733,0.8741,320086.44,238804.77,571546.66,0.10535696325000002,0.10642117500000002,0.0,0.6210192804684295,0.6175335598461998,0.6132601773644974,2.7826
20190225,5.74,5.75,5.76,2.7826,-0.1736,-0.1733,589909.42,320086.44,238804.77,0.20416943957142858,0.21520566096428573,0.2217222994285714,0.6338926173629708,0.6435729288726282,0.6120298488615691,9.4755
20190226,5.97,5.74,5.75,9.4755,2.7826,-0.1736,1445809.69,589909.42,320086.44,0.32936763525,0.20416943957142858,0.21520566096428573,0.6689198820735053,0.6338926173629708,0.6435729288726282,-2.6275
20190227,6.48,5.97,5.74,-2.6275,9.4755,2.7826,922971.76,1445809.69,589909.42,0.307884708,0.32936763525,0.20416943957142858,0.6830698291288752,0.6689198820735053,0.6338926173629708,2.381
20190228,6.3,6.48,5.97,2.381,-2.6275,9.4755,1031709.06,922971.76,1445809.69,0.4032976178214286,0.307884708,0.32936763525,0.6896004665364623,0.6830698291288752,0.6689198820735053,1.5504
20190301,6.55,6.3,6.48,1.5504,2.381,-2.6275,905599.04,1031709.06,922971.76,0.3659030597142857,0.4032976178214286,0.307884708,0.6734194941214435,0.6896004665364623,0.6830698291288752,6.1069
20190304,6.5,6.55,6.3,6.1069,1.5504,2.381,1481169.86,905599.04,1031709.06,0.26853905777142856,0.3146488273892857,0.3722172111785714,0.5363870363233567,0.6310755478668659,0.7012631181166422,-0.5755
20190305,6.8,6.5,6.55,-0.5755,6.1069,1.5504,1749270.51,1481169.86,905599.04,0.28626565478928573,0.26853905777142856,0.3146488273892857,0.552768500940626,0.5363870363233567,0.6310755478668659,-0.8683
20190306,6.81,6.8,6.5,-0.8683,-0.5755,6.1069,699812.3,1749270.51,1481169.86,0.2983095457571428,0.28626565478928573,0.26853905777142856,0.5639585495803963,0.552768500940626,0.5363870363233567,-0.8759
20190307,6.82,6.81,6.8,-0.8759,-0.8683,-0.5755,1019158.3,699812.3,1749270.51,0.29440456223571426,0.2983095457571428,0.28626565478928573,0.5593030165996052,0.5639585495803963,0.552768500940626,-1.3255
20190308,6.76,6.82,6.81,-1.3255,-0.8759,-0.8683,1141134.37,1019158.3,699812.3,0.23753308623999997,0.29440456223571426,0.2983095457571428,0.5574902913169711,0.5593030165996052,0.5639585495803963,-5.5224
20190311,6.51,6.76,6.82,-5.5224,-1.3255,-0.8759,998348.57,1141134.37,1019158.3,0.13179687044714283,0.15655666784571426,0.20049820811,0.5015038374475843,0.5639738070347946,0.587547160827252,0.158
20190312,6.3,6.51,6.76,0.158,-5.5224,-1.3255,881565.82,998348.57,1141134.37,0.16341227091428573,0.13179687044714283,0.15655666784571426,0.5703861575300033,0.5015038374475843,0.5639738070347946,0.4732
20190313,6.37,6.3,6.51,0.4732,0.158,-5.5224,731575.12,881565.82,998348.57,0.14044127307214285,0.16341227091428573,0.13179687044714283,0.6241818602872184,0.5703861575300033,0.5015038374475843,-0.6279
20190314,6.38,6.37,6.3,-0.6279,0.4732,0.158,762678.82,731575.12,881565.82,0.1650360477457143,0.14044127307214285,0.16341227091428573,0.6861450323192296,0.6241818602872184,0.5703861575300033,0.158
20190315,6.34,6.38,6.37,0.158,-0.6279,0.4732,519751.88,762678.82,731575.12,0.13240884283499998,0.1650360477457143,0.14044127307214285,0.7259898599403225,0.6861450323192296,0.6241818602872184,0.3155
20190318,6.34,6.34,6.38,0.3155,0.158,-0.6279,550724.15,519751.88,762678.82,0.08270213640000001,0.0930391586,0.10941706914000002,0.68801617807625,0.7799954876208065,0.7328884861504974,1.7296
20190319,6.35,6.34,6.34,1.7296,0.3155,0.158,1012559.13,550724.15,519751.88,0.07010650500000001,0.08270213640000001,0.0930391586,0.6788482921966668,0.68801617807625,0.7799954876208065,-1.0819
20190320,6.46,6.35,6.34,-1.0819,1.7296,0.3155,623141.7,1012559.13,550724.15,0.13665366439999999,0.07010650500000001,0.08270213640000001,0.6560917085767857,0.6788482921966668,0.68801617807625,-0.3125
20190321,6.37,6.46,6.35,-0.3125,-1.0819,1.7296,436932.52,623141.7,1012559.13,0.11872680059999999,0.13665366439999999,0.07010650500000001,0.5578914338571429,0.6560917085767857,0.6788482921966668,-0.7837
20190322,6.38,6.37,6.46,-0.7837,-0.3125,-1.0819,618804.43,436932.52,623141.7,0.0969132996,0.11872680059999999,0.13665366439999999,0.530004590502381,0.5578914338571429,0.6560917085767857,-0.4739
