,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,5.35,5.24,5.18,2.0992,1.1583,1.5686,1900795.05,1526440.29,2001628.14,0.38950421099,0.42531264046833334,0.35211699421,0.13373717655,0.1476735712,0.15820253774999998,-0.9346
20190111,5.3,5.35,5.24,-0.9346,2.0992,1.1583,1451872.73,1900795.05,1526440.29,0.405056911275,0.38950421099,0.42531264046833334,0.24837520379999997,0.13373717655,0.1476735712,0.9434
20190114,5.35,5.3,5.35,0.9434,-0.9346,2.0992,801253.06,1451872.73,1900795.05,0.434743651485,0.48848394463499994,0.4400457014483334,0.23155884615,0.26639814599999995,0.28302303445,-1.1215
20190115,5.29,5.35,5.3,-1.1215,0.9434,-0.9346,726327.54,801253.06,1451872.73,0.368452952815,0.434743651485,0.48848394463499994,0.33209564709999995,0.23155884615,0.26639814599999995,0.7561
20190116,5.33,5.29,5.35,0.7561,-1.1215,0.9434,861937.44,726327.54,801253.06,0.309621908625,0.368452952815,0.434743651485,0.29886777772499995,0.33209564709999995,0.23155884615,1.1257
20190117,5.39,5.33,5.29,1.1257,0.7561,-1.1215,835037.58,861937.44,726327.54,0.354868453875,0.309621908625,0.368452952815,0.2741201604,0.29886777772499995,0.33209564709999995,-0.5566
20190118,5.36,5.39,5.33,-0.5566,1.1257,0.7561,752551.69,835037.58,861937.44,0.430098356875,0.354868453875,0.309621908625,0.242503531125,0.2741201604,0.29886777772499995,0.7463
20190121,5.4,5.36,5.39,0.7463,-0.5566,1.1257,1001826.95,752551.69,835037.58,0.3512318689999999,0.347844124875,0.373956849,0.10643957159999999,0.158663236725,0.20401788989999997,1.4815
20190122,5.48,5.4,5.36,1.4815,0.7463,-0.5566,1012467.6,1001826.95,752551.69,0.295648971,0.3512318689999999,0.347844124875,0.07506308302499999,0.10643957159999999,0.158663236725,-1.8248
20190123,5.38,5.48,5.4,-1.8248,1.4815,0.7463,910680.84,1012467.6,1001826.95,0.324418869,0.295648971,0.3512318689999999,0.051368188499999974,0.07506308302499999,0.10643957159999999,0.0
20190124,5.38,5.38,5.48,0.0,-1.8248,1.4815,643584.03,910680.84,1012467.6,0.35742399105,0.324418869,0.295648971,0.14845498837499999,0.051368188499999974,0.07506308302499999,0.9294
20190125,5.43,5.38,5.38,0.9294,0.0,-1.8248,756785.93,643584.03,910680.84,0.43541735182499997,0.35742399105,0.324418869,0.12013056,0.14845498837499999,0.051368188499999974,0.7366
20190128,5.47,5.43,5.38,0.7366,0.9294,0.0,675729.39,756785.93,643584.03,0.445847925796875,0.49258335378749996,0.48620301494999996,0.10192896,0.11042304000000001,0.11649024,1.4625
20190129,5.55,5.47,5.43,1.4625,0.7366,0.9294,1461278.96,675729.39,756785.93,0.531689612175,0.445847925796875,0.49258335378749996,0.091008,0.10192896,0.11042304000000001,1.0811
20190130,5.61,5.55,5.47,1.0811,1.4625,0.7366,1295072.59,1461278.96,675729.39,0.600949447771875,0.531689612175,0.445847925796875,0.07766016,0.091008,0.10192896,0.3565
20190131,5.63,5.61,5.55,0.3565,1.0811,1.4625,861861.87,1295072.59,1461278.96,0.6161711170874999,0.600949447771875,0.531689612175,0.06188544,0.07766016,0.091008,1.7762
20190201,5.73,5.63,5.61,1.7762,0.3565,1.0811,1082258.12,861861.87,1295072.59,0.668455722871875,0.6161711170874999,0.600949447771875,0.04368383999999998,0.06188544,0.07766016,0.1745
20190211,5.74,5.73,5.63,0.1745,1.7762,0.3565,771406.41,1082258.12,861861.87,0.12753265425,0.17493658237499998,0.23052265425,0.02277402224999999,0.04315077899999998,0.06113027025,-0.6969
20190212,5.7,5.74,5.73,-0.6969,0.1745,1.7762,1010366.41,771406.41,1082258.12,0.09840639900000002,0.12753265425,0.17493658237499998,0.0,0.02277402224999999,0.04315077899999998,-0.1754
20190213,5.69,5.7,5.74,-0.1754,-0.6969,0.1745,1113601.79,1010366.41,771406.41,0.090836676,0.09840639900000002,0.12753265425,0.0,0.0,0.02277402224999999,2.9877
20190214,5.86,5.69,5.7,2.9877,-0.1754,-0.6969,1360123.47,1113601.79,1010366.41,0.08110417500000001,0.090836676,0.09840639900000002,0.0,0.0,0.0,-0.3413
20190215,5.84,5.86,5.69,-0.3413,2.9877,-0.1754,856453.09,1360123.47,1113601.79,0.069208896,0.08110417500000001,0.090836676,0.0,0.0,0.0,-1.5411
20190218,5.75,5.84,5.86,-1.5411,-0.3413,2.9877,794842.28,856453.09,1360123.47,0.3036132345,0.3278007555,0.200185689,0.0,0.0,0.0,2.6087
20190219,5.9,5.75,5.84,2.6087,-1.5411,-0.3413,1262494.78,794842.28,856453.09,0.3400783999285714,0.3036132345,0.3278007555,0.09746147999999999,0.0,0.0,-0.339
20190220,5.88,5.9,5.75,-0.339,2.6087,-1.5411,852761.55,1262494.78,794842.28,0.3219754290642857,0.3400783999285714,0.3036132345,0.0964868652,0.09746147999999999,0.0,0.3401
20190221,5.9,5.88,5.9,0.3401,-0.339,2.6087,649242.94,852761.55,1262494.78,0.4207095984714286,0.3219754290642857,0.3400783999285714,0.0935630208,0.0964868652,0.09746147999999999,-0.5085
20190222,5.87,5.9,5.88,-0.5085,0.3401,-0.339,792892.89,649242.94,852761.55,0.38700874815,0.4207095984714286,0.3219754290642857,0.17777187179999998,0.0935630208,0.0964868652,0.1704
20190225,5.88,5.87,5.9,0.1704,-0.5085,0.3401,960693.36,792892.89,649242.94,0.2279511188142857,0.2906295083214286,0.3436487181,0.43027102694999997,0.304751958,0.17005874895,3.2313
20190226,6.07,5.88,5.87,3.2313,0.1704,-0.5085,2697691.04,960693.36,792892.89,0.30213969957857145,0.2279511188142857,0.2906295083214286,0.4055596308,0.43027102694999997,0.304751958,-1.1532
20190227,6.0,6.07,5.88,-1.1532,3.2313,0.1704,2408142.65,2697691.04,960693.36,0.3957948826142857,0.30213969957857145,0.2279511188142857,0.37135151655,0.4055596308,0.43027102694999997,0.6667
20190228,6.04,6.0,6.07,0.6667,-1.1532,3.2313,1905693.11,2408142.65,2697691.04,0.36214469867142857,0.3957948826142857,0.30213969957857145,0.47122308420000003,0.37135151655,0.4055596308,-0.4967
20190301,6.01,6.04,6.0,-0.4967,0.6667,-1.1532,1176222.18,1905693.11,2408142.65,0.4426015365,0.36214469867142857,0.3957948826142857,0.41658576975,0.47122308420000003,0.37135151655,1.1647
20190304,6.08,6.01,6.04,1.1647,-0.4967,0.6667,1291834.67,1176222.18,1905693.11,0.41866976325000005,0.457372539,0.50916860725,0.366976437,0.43746442275,0.4629602199999999,0.4934
20190305,6.11,6.08,6.01,0.4934,1.1647,-0.4967,2804788.06,1291834.67,1176222.18,0.36949724000000006,0.41866976325000005,0.457372539,0.302270557,0.366976437,0.43746442275,-0.3273
20190306,6.09,6.11,6.08,-0.3273,0.4934,1.1647,1735075.08,2804788.06,1291834.67,0.30985496925,0.36949724000000006,0.41866976325000005,0.22642121699999995,0.302270557,0.366976437,0.6568
20190307,6.13,6.09,6.11,0.6568,-0.3273,0.4934,2789936.88,1735075.08,2804788.06,0.23974295099999998,0.30985496925,0.36949724000000006,0.17011722899999998,0.22642121699999995,0.302270557,-0.8157
20190308,6.08,6.13,6.09,-0.8157,0.6568,-0.3273,2403304.01,2789936.88,1735075.08,0.25425011525,0.23974295099999998,0.30985496925,0.22894298799999996,0.17011722899999998,0.22642121699999995,-3.7829
20190311,5.85,6.08,6.13,-3.7829,-0.8157,0.6568,1958314.45,2403304.01,2789936.88,0.1067617178,0.15314386379999997,0.1930182042,0.22066151649999996,0.24706366199999993,0.18795830849999998,0.3419
20190312,5.87,5.85,6.08,0.3419,-3.7829,-0.8157,1363333.23,1958314.45,2403304.01,0.1361829987,0.1067617178,0.15314386379999997,0.29600777999999994,0.22066151649999996,0.24706366199999993,1.8739
20190313,5.98,5.87,5.85,1.8739,0.3419,-3.7829,1814248.6,1363333.23,1958314.45,0.25570971202500004,0.1361829987,0.1067617178,0.27498909149999995,0.29600777999999994,0.22066151649999996,-1.505
20190314,5.89,5.98,5.87,-1.505,1.8739,0.3419,1160548.01,1814248.6,1363333.23,0.2422742028,0.25570971202500004,0.1361829987,0.25394256,0.27498909149999995,0.29600777999999994,0.6791
20190315,5.93,5.89,5.98,0.6791,-1.505,1.8739,1095595.67,1160548.01,1814248.6,0.22323779302500002,0.2422742028,0.25570971202500004,0.329976383,0.25394256,0.27498909149999995,0.1686
20190318,5.94,5.93,5.89,0.1686,0.6791,-1.505,1053881.38,1095595.67,1160548.01,0.19104485640000002,0.22871277082500002,0.25956058270000004,0.20190396762499996,0.2528421555,0.29553296062499995,2.0202
20190319,6.06,5.94,5.93,2.0202,0.1686,0.6791,1708294.51,1053881.38,1095595.67,0.26375896472500004,0.19104485640000002,0.22871277082500002,0.26845034549999996,0.20190396762499996,0.2528421555,-0.165
20190320,6.05,6.06,5.94,-0.165,2.0202,0.1686,1248028.51,1708294.51,1053881.38,0.23334896460000001,0.26375896472500004,0.19104485640000002,0.34812167362499996,0.26845034549999996,0.20190396762499996,-0.8264
20190321,6.0,6.05,6.06,-0.8264,-0.165,2.0202,1278740.29,1248028.51,1708294.51,0.33993152152500006,0.23334896460000001,0.26375896472500004,0.46098831649999994,0.34812167362499996,0.26845034549999996,0.1667
20190322,6.01,6.0,6.05,0.1667,-0.8264,-0.165,1009272.49,1278740.29,1248028.51,0.29435698,0.33993152152500006,0.23334896460000001,0.416417161125,0.46098831649999994,0.34812167362499996,-0.4992
20190325,5.98,6.01,6.0,-0.4992,0.1667,-0.8264,928243.8,1009272.49,1278740.29,0.284421979,0.22577927400000003,0.250867077,0.42499459009999996,0.3413684099,0.3847116705,-2.6756
20190326,5.82,5.98,6.01,-2.6756,-0.4992,0.1667,2603456.85,928243.8,1009272.49,0.3577320846,0.284421979,0.22577927400000003,0.449303477475,0.42499459009999996,0.3413684099,-2.0619
20190327,5.7,5.82,5.98,-2.0619,-2.6756,-0.4992,2102146.31,2603456.85,928243.8,0.434838258525,0.3577320846,0.284421979,0.5317555543285715,0.449303477475,0.42499459009999996,0.3509
20190328,5.72,5.7,5.82,0.3509,-2.0619,-2.6756,1112544.64,2102146.31,2603456.85,0.534420776175,0.434838258525,0.3577320846,0.5209643080892857,0.5317555543285715,0.449303477475,-1.3986
20190329,5.64,5.72,5.7,-1.3986,0.3509,-2.0619,1162484.83,1112544.64,2102146.31,0.4777379723249999,0.534420776175,0.434838258525,0.4394575429714286,0.5209643080892857,0.5317555543285715,1.773
20190401,5.74,5.64,5.72,1.773,-1.3986,0.3509,1981482.32,1162484.83,1112544.64,0.543280954275,0.592107168125,0.554618205975,0.2615397638464286,0.30311439560000003,0.364694154975,1.7422
20190402,5.84,5.74,5.64,1.7422,1.773,-1.3986,2594463.04,1981482.32,1162484.83,0.578606643425,0.543280954275,0.592107168125,0.21202484121428572,0.2615397638464286,0.30311439560000003,-0.5137
20190403,5.81,5.84,5.74,-0.5137,1.7422,1.773,1832272.75,2594463.04,1981482.32,0.563437533575,0.578606643425,0.543280954275,0.20721102392857144,0.21202484121428572,0.2615397638464286,0.8606
20190404,5.86,5.81,5.84,0.8606,-0.5137,1.7422,1956807.71,1832272.75,2594463.04,0.469998726975,0.563437533575,0.578606643425,0.14174313321428572,0.20721102392857144,0.21202484121428572,1.1945
20190408,5.93,5.86,5.81,1.1945,0.8606,-0.5137,2844451.28,1956807.71,1832272.75,0.296626253,0.3566985975,0.43353516950000004,0.15735043799999998,0.16574423849999997,0.181221198,1.6863
20190409,6.03,5.93,5.86,1.6863,1.1945,0.8606,3563050.92,2844451.28,1956807.71,0.29979364399999997,0.296626253,0.3566985975,0.1454499945,0.15735043799999998,0.16574423849999997,-1.1609
20190410,5.96,6.03,5.93,-1.1609,1.6863,1.1945,2232712.64,3563050.92,2844451.28,0.355757996475,0.29979364399999997,0.296626253,0.130042908,0.1454499945,0.15735043799999998,-1.0067
20190411,5.9,5.96,6.03,-1.0067,-1.1609,1.6863,2237218.34,2232712.64,3563050.92,0.45272195390000003,0.355757996475,0.29979364399999997,0.2485603785,0.130042908,0.1454499945,-1.1864
20190412,5.83,5.9,5.96,-1.1864,-1.0067,-1.1609,1824566.87,2237218.34,2232712.64,0.397006850775,0.45272195390000003,0.355757996475,0.224765694,0.2485603785,0.130042908,-0.1715
20190415,5.82,5.83,5.9,-0.1715,-1.1864,-1.0067,1304345.63,1824566.87,2237218.34,0.3464948001,0.402026020125,0.3493183986,0.13883150249999998,0.16937895,0.1947157425,-0.1718
20190416,5.81,5.82,5.83,-0.1718,-0.1715,-1.1864,1669148.67,1304345.63,1824566.87,0.308991973275,0.3464948001,0.402026020125,0.10307340000000001,0.13883150249999998,0.16937895,1.5491
20190417,5.9,5.81,5.82,1.5491,-0.1718,-0.1715,2275265.8,1669148.67,1304345.63,0.2629994154,0.308991973275,0.3464948001,0.08795596800000001,0.10307340000000001,0.13883150249999998,-0.339
20190418,5.88,5.9,5.81,-0.339,1.5491,-0.1718,1644098.66,2275265.8,1669148.67,0.30889944584999995,0.2629994154,0.308991973275,0.207074562,0.08795596800000001,0.10307340000000001,-0.5102
20190419,5.85,5.88,5.9,-0.5102,-0.339,1.5491,1287651.38,1644098.66,2275265.8,0.36742380268124997,0.30889944584999995,0.2629994154,0.3003182355,0.207074562,0.08795596800000001,0.3419
20190422,5.87,5.85,5.88,0.3419,-0.5102,-0.339,1115578.1,1287651.38,1644098.66,0.349019254275,0.38054801563125007,0.43010212309999996,0.219924768,0.2352751035,0.27169310999999996,1.0221
20190423,5.93,5.87,5.85,1.0221,0.3419,-0.5102,2869655.21,1115578.1,1287651.38,0.30861648453125,0.349019254275,0.38054801563125007,0.19953017550000002,0.219924768,0.2352751035,-0.8432
20190424,5.88,5.93,5.87,-0.8432,1.0221,0.3419,1952614.84,2869655.21,1115578.1,0.3974166564,0.30861648453125,0.349019254275,0.29962831349999997,0.19953017550000002,0.219924768,-1.0204
20190425,5.82,5.88,5.93,-1.0204,-0.8432,1.0221,1651453.35,1952614.84,2869655.21,0.35845189138125,0.3974166564,0.30861648453125,0.269829637125,0.29962831349999997,0.19953017550000002,-1.5464
20190426,5.73,5.82,5.88,-1.5464,-1.0204,-0.8432,1411117.55,1651453.35,1952614.84,0.309810320975,0.35845189138125,0.3974166564,0.23051676599999996,0.269829637125,0.29962831349999997,-1.2216
20190429,5.66,5.73,5.82,-1.2216,-1.5464,-1.0204,1135457.02,1411117.55,1651453.35,0.2629134245,0.32375538524999997,0.39316732018125,0.22051454062499998,0.2577399,0.31353965212499996,0.0
20190430,5.66,5.66,5.73,0.0,-1.2216,-1.5464,1179114.08,1135457.02,1411117.55,0.31860206925,0.2629134245,0.32375538524999997,0.20003441249999998,0.22051454062499998,0.2577399,0.3534
20190506,5.68,5.66,5.66,0.3534,0.0,-1.2216,910097.37,1179114.08,1135457.02,0.17971753245,0.2248689315,0.26286061045000003,0.239679355875,0.28055153699999996,0.31396613287499997,-4.2254
20190507,5.44,5.68,5.66,-4.2254,0.3534,0.0,2251564.42,910097.37,1179114.08,0.1274064133,0.17971753245,0.2248689315,0.1909810275,0.239679355875,0.28055153699999996,0.1838
20190508,5.45,5.44,5.68,0.1838,-4.2254,0.3534,1103198.62,2251564.42,910097.37,0.11060332155,0.1274064133,0.17971753245,0.20228705737500002,0.1909810275,0.239679355875,-1.2844
20190509,5.38,5.45,5.44,-1.2844,0.1838,-4.2254,1083695.6,1103198.62,2251564.42,0.20673093926249997,0.11060332155,0.1274064133,0.167414778,0.20228705737500002,0.1909810275,-0.5576
20190510,5.35,5.38,5.45,-0.5576,-1.2844,0.1838,729664.75,1083695.6,1103198.62,0.1774501885,0.20673093926249997,0.11060332155,0.26395668637499997,0.167414778,0.20228705737500002,1.4953
20190513,5.43,5.35,5.38,1.4953,-0.5576,-1.2844,963715.54,729664.75,1083695.6,0.15993712713749997,0.17375885594999999,0.18364130073749993,0.1554908865,0.188526862125,0.215632956,-1.105
20190514,5.37,5.43,5.35,-1.105,1.4953,-0.5576,759139.79,963715.54,729664.75,0.1444206783,0.15993712713749997,0.17375885594999999,0.248133818,0.1554908865,0.188526862125,-0.1862
20190515,5.36,5.37,5.43,-0.1862,-1.105,1.4953,703237.65,759139.79,963715.54,0.25900371343749995,0.1444206783,0.15993712713749997,0.2294249445,0.248133818,0.1554908865,0.7463
