,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,16.94,16.72,16.67,0.1191,-0.0595,0.1789,282614.26,213437.73,332879.9,0.37006472737499996,0.292224034,0.22273612387499997,0.5487355635,0.59242425375,0.47587595850000003,-1.1303
20190111,16.8,16.94,16.72,-1.1303,0.1191,-0.0595,243665.52,282614.26,213437.73,0.475514784375,0.37006472737499996,0.292224034,0.63609351075,0.5487355635,0.59242425375,0.3008
20190114,16.77,16.8,16.94,0.3008,-1.1303,0.1191,186218.7,243665.52,282614.26,0.3771863955,0.420498306375,0.47524356912499993,0.6353008737642858,0.5939896653428571,0.6084603890357142,-1.0798
20190115,16.8,16.77,16.8,-1.0798,0.3008,-1.1303,197414.32,186218.7,243665.52,0.460813889375,0.3771863955,0.420498306375,0.6667001657999999,0.6353008737642858,0.5939896653428571,1.5161
20190116,16.65,16.8,16.77,1.5161,-1.0798,0.3008,287902.21,197414.32,186218.7,0.4300714125,0.460813889375,0.3771863955,0.71143435095,0.6667001657999999,0.6353008737642858,-0.1792
20190117,16.8,16.65,16.8,-0.1792,1.5161,-1.0798,197216.95,287902.21,197414.32,0.37574965191500004,0.4300714125,0.460813889375,0.763220746577922,0.71143435095,0.6667001657999999,-1.3764
20190118,16.87,16.8,16.65,-1.3764,-0.1792,1.5161,199562.34,197216.95,287902.21,0.31221525866,0.37574965191500004,0.4300714125,0.7997537200928572,0.763220746577922,0.71143435095,1.0316
20190121,16.65,16.87,16.8,1.0316,-1.3764,-0.1792,241790.26,199562.34,197216.95,0.17443738695000002,0.18207211544,0.246790025985,0.6613391279597403,0.6203617287837662,0.7050974134948053,-1.021
20190122,16.59,16.65,16.87,-1.021,1.0316,-1.3764,328116.84,241790.26,199562.34,0.20695563939,0.17443738695000002,0.18207211544,0.6501356507727273,0.6613391279597403,0.6203617287837662,-2.1238
20190123,16.43,16.59,16.65,-2.1238,-1.021,1.0316,228927.19,328116.84,241790.26,0.32703028001,0.20695563939,0.17443738695000002,0.6843140903784964,0.6501356507727273,0.6613391279597403,-0.186
20190124,16.16,16.43,16.59,-0.186,-2.1238,-1.021,171669.25,228927.19,328116.84,0.29379638756,0.32703028001,0.20695563939,0.6701434525839159,0.6843140903784964,0.6501356507727273,0.9938
