,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,5.88,5.85,5.83,0.5128,0.3431,-0.5119,717273.53,390041.29,490107.05,0.6854299841249999,0.5946170137916665,0.49282743887499997,0.41238627878636364,0.36194037571022725,0.28103135189545453,-0.5102
20190111,5.85,5.88,5.85,-0.5102,0.5128,0.3431,451585.53,717273.53,390041.29,0.766008647625,0.6854299841249999,0.5946170137916665,0.47105049680243505,0.41238627878636364,0.36194037571022725,1.1966
20190114,5.92,5.85,5.88,1.1966,-0.5102,0.5128,477674.96,451585.53,717273.53,0.6664112676249999,0.734015862125,0.8150382637916667,0.6416194173195454,0.5853290667197998,0.544264445312013,-0.5068
20190115,5.89,5.92,5.85,-0.5068,1.1966,-0.5102,386888.37,477674.96,451585.53,0.5453110777916667,0.6664112676249999,0.734015862125,0.62579361156875,0.6416194173195454,0.5853290667197998,1.0187
20190116,5.95,5.89,5.92,1.0187,-0.5068,1.1966,534235.76,386888.37,477674.96,0.43050447399999997,0.5453110777916667,0.6664112676249999,0.6572922094980953,0.62579361156875,0.6416194173195454,0.1681
20190117,5.96,5.95,5.89,0.1681,1.0187,-0.5068,491214.59,534235.76,386888.37,0.45308838662499995,0.43050447399999997,0.5453110777916667,0.6669807011244643,0.6572922094980953,0.62579361156875,-0.8389
20190118,5.91,5.96,5.95,-0.8389,0.1681,1.0187,541767.88,491214.59,534235.76,0.4752982297499999,0.45308838662499995,0.43050447399999997,0.6768247109511039,0.6669807011244643,0.6572922094980953,1.1844
20190121,5.98,5.91,5.96,1.1844,-0.8389,0.1681,590517.7,541767.88,491214.59,0.256305724626,0.31855482354399994,0.39372657385,0.6102531601202572,0.7101590146935178,0.7009394845735369,0.8361
20190122,6.03,5.98,5.91,0.8361,1.1844,-0.8389,753877.81,590517.7,541767.88,0.210202927596,0.256305724626,0.31855482354399994,0.5615494827287548,0.6102531601202572,0.7101590146935178,-0.1658
20190123,6.02,6.03,5.98,-0.1658,0.8361,1.1844,465879.65,753877.81,590517.7,0.179590542954,0.210202927596,0.256305724626,0.5491486300238323,0.5615494827287548,0.6102531601202572,-0.3322
20190124,6.0,6.02,6.03,-0.3322,-0.1658,0.8361,373068.69,465879.65,753877.81,0.1433229957,0.179590542954,0.210202927596,0.5217311343067396,0.5491486300238323,0.5615494827287548,-0.1667
20190125,5.99,6.0,6.02,-0.1667,-0.3322,-0.1658,384916.67,373068.69,465879.65,0.231608288334,0.1433229957,0.179590542954,0.5477959282158099,0.5217311343067396,0.5491486300238323,0.5008
20190128,6.02,5.99,6.0,0.5008,-0.1667,-0.3322,588821.9,384916.67,373068.69,0.344506886064,0.37792744476599993,0.295077402856,0.60235432413,0.5701041444961902,0.5495037300560435,-0.1661
20190129,6.01,6.02,5.99,-0.1661,0.5008,-0.1667,467302.35,588821.9,384916.67,0.336659086,0.344506886064,0.37792744476599993,0.6611054580970834,0.60235432413,0.5701041444961902,2.1631
20190130,6.14,6.01,6.02,2.1631,-0.1661,0.5008,1006129.09,467302.35,588821.9,0.4096250859,0.336659086,0.344506886064,0.6904457885622728,0.6611054580970834,0.60235432413,-0.6515
20190131,6.1,6.14,6.01,-0.6515,2.1631,-0.1661,562192.59,1006129.09,467302.35,0.5181621531535715,0.4096250859,0.336659086,0.7339619794354165,0.6904457885622728,0.6611054580970834,2.459
20190201,6.25,6.1,6.14,2.459,-0.6515,2.1631,856922.76,562192.59,1006129.09,0.4738086078142857,0.5181621531535715,0.4096250859,0.7234889630081819,0.7339619794354165,0.6904457885622728,-0.48
20190211,6.22,6.25,6.1,-0.48,2.459,-0.6515,641642.86,856922.76,562192.59,0.030793703999999995,0.054251150999999984,0.10188613307142856,0.7289489878285714,0.6609321670178572,0.6273661845238094,-0.8039
20190212,6.17,6.22,6.25,-0.8039,-0.48,2.459,658405.46,641642.86,856922.76,0.137905125,0.030793703999999995,0.054251150999999984,0.7842508128142858,0.7289489878285714,0.6609321670178572,-0.1621
20190213,6.16,6.17,6.22,-0.1621,-0.8039,-0.48,523023.01,658405.46,641642.86,0.27287560754999995,0.137905125,0.030793703999999995,0.8072739313499999,0.7842508128142858,0.7289489878285714,1.7857
20190214,6.27,6.16,6.17,1.7857,-0.1621,-0.8039,882616.86,523023.01,658405.46,0.39773408894999995,0.27287560754999995,0.137905125,0.855996169102381,0.8072739313499999,0.7842508128142858,-0.9569
20190215,6.21,6.27,6.16,-0.9569,1.7857,-0.1621,475369.08,882616.86,523023.01,0.53333574195,0.39773408894999995,0.27287560754999995,0.8676599471071428,0.855996169102381,0.8072739313499999,-2.0934
20190218,6.08,6.21,6.27,-2.0934,-0.9569,1.7857,631648.5,475369.08,882616.86,0.54896291805,0.59632602525,0.63027201105,0.7009826752057142,0.8252705414538096,0.8491254308642857,1.4803
