,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,15.36,15.23,15.17,0.8536,0.3955,-0.1974,442573.68,227190.91,362072.23,0.38279759466666663,0.285304724,0.210684509,0.41238627878636364,0.36194037571022725,0.28103135189545453,-0.1953
20190111,15.33,15.36,15.23,-0.1953,0.8536,0.3955,238194.07,442573.68,227190.91,0.3493611152499999,0.38279759466666663,0.285304724,0.47105049680243505,0.41238627878636364,0.36194037571022725,0.4566
20190114,15.4,15.33,15.36,0.4566,-0.1953,0.8536,272992.2,238194.07,442573.68,0.22721698199999998,0.25492568391666665,0.306737145,0.6416194173195454,0.5853290667197998,0.544264445312013,-1.1039
20190115,15.23,15.4,15.33,-1.1039,0.4566,-0.1953,238060.41,272992.2,238194.07,0.18554698874999997,0.22721698199999998,0.25492568391666665,0.62579361156875,0.6416194173195454,0.5853290667197998,1.3132
20190116,15.43,15.23,15.4,1.3132,-1.1039,0.4566,303737.46,238060.41,272992.2,0.15876058799999998,0.18554698874999997,0.22721698199999998,0.6572922094980953,0.62579361156875,0.6416194173195454,0.2592
20190117,15.47,15.43,15.23,0.2592,1.3132,-1.1039,209404.13,303737.46,238060.41,0.14389107075,0.15876058799999998,0.18554698874999997,0.6669807011244643,0.6572922094980953,0.62579361156875,-0.7757
20190118,15.35,15.47,15.43,-0.7757,0.2592,1.3132,278863.04,209404.13,303737.46,0.20098915299999998,0.14389107075,0.15876058799999998,0.6768247109511039,0.6669807011244643,0.6572922094980953,2.1498
20190121,15.68,15.35,15.47,2.1498,-0.7757,0.2592,464707.52,278863.04,209404.13,0.2945837914,0.3086451656,0.25864522274999996,0.6102531601202572,0.7101590146935178,0.7009394845735369,0.0
20190122,15.68,15.68,15.35,0.0,2.1498,-0.7757,397764.57,464707.52,278863.04,0.27398390640000003,0.2945837914,0.3086451656,0.5615494827287548,0.6102531601202572,0.7101590146935178,-0.8291
20190123,15.55,15.68,15.68,-0.8291,0.0,2.1498,227852.84,397764.57,464707.52,0.3620620606,0.27398390640000003,0.2945837914,0.5491486300238323,0.5615494827287548,0.6102531601202572,-0.3215
20190124,15.5,15.55,15.68,-0.3215,-0.8291,0.0,181391.37,227852.84,397764.57,0.3272329885,0.3620620606,0.27398390640000003,0.5217311343067396,0.5491486300238323,0.5615494827287548,1.0323
20190125,15.66,15.5,15.55,1.0323,-0.3215,-0.8291,284020.18,181391.37,227852.84,0.41621147710000006,0.3272329885,0.3620620606,0.5477959282158099,0.5217311343067396,0.5491486300238323,2.1073
20190128,15.99,15.66,15.5,2.1073,1.0323,-0.3215,630654.42,284020.18,181391.37,0.32017633360000003,0.386329674775,0.4438722469,0.60235432413,0.5701041444961902,0.5495037300560435,0.0
20190129,15.99,15.99,15.66,0.0,2.1073,1.0323,449401.44,630654.42,284020.18,0.26195195537500005,0.32017633360000003,0.386329674775,0.6611054580970834,0.60235432413,0.5701041444961902,0.8755
20190130,16.13,15.99,15.99,0.8755,0.0,2.1073,417685.05,449401.44,630654.42,0.3016667325,0.26195195537500005,0.32017633360000003,0.6904457885622728,0.6611054580970834,0.60235432413,-0.248
20190131,16.09,16.13,15.99,-0.248,0.8755,0.0,459654.02,417685.05,449401.44,0.355354711375,0.3016667325,0.26195195537500005,0.7339619794354165,0.6904457885622728,0.6611054580970834,1.9267
20190201,16.4,16.09,16.13,1.9267,-0.248,0.8755,685955.99,459654.02,417685.05,0.307793170625,0.355354711375,0.3016667325,0.7234889630081819,0.7339619794354165,0.6904457885622728,-0.061
20190211,16.39,16.4,16.09,-0.061,1.9267,-0.248,430380.2,685955.99,459654.02,0.29123007489999997,0.331512466725,0.38058872662500004,0.7289489878285714,0.6609321670178572,0.6273661845238094,-0.183
20190212,16.36,16.39,16.4,-0.183,-0.061,1.9267,452452.07,430380.2,685955.99,0.343413735525,0.29123007489999997,0.331512466725,0.7842508128142858,0.7289489878285714,0.6609321670178572,-0.1834
20190213,16.33,16.36,16.39,-0.1834,-0.183,-0.061,339475.43,452452.07,430380.2,0.31171654485,0.343413735525,0.29123007489999997,0.8072739313499999,0.7842508128142858,0.7289489878285714,1.5922
20190214,16.59,16.33,16.36,1.5922,-0.1834,-0.183,733925.89,339475.43,452452.07,0.41575414912499997,0.31171654485,0.343413735525,0.855996169102381,0.8072739313499999,0.7842508128142858,-0.3617
20190215,16.53,16.59,16.33,-0.3617,1.5922,-0.1834,370503.28,733925.89,339475.43,0.5100111216000001,0.41575414912499997,0.31171654485,0.8676599471071428,0.855996169102381,0.8072739313499999,-2.5408
20190218,16.11,16.53,16.59,-2.5408,-0.3617,1.5922,545569.86,370503.28,733925.89,0.43040193795000004,0.497115979425,0.45454671652499995,0.7009826752057142,0.8252705414538096,0.8491254308642857,2.1105
20190219,16.45,16.11,16.53,2.1105,-2.5408,-0.3617,536433.01,545569.86,370503.28,0.37879626172499997,0.43040193795000004,0.497115979425,0.6649016266200001,0.7009826752057142,0.8252705414538096,0.6079
20190220,16.55,16.45,16.11,0.6079,2.1105,-2.5408,659604.16,536433.01,545569.86,0.404365377525,0.37879626172499997,0.43040193795000004,0.6500407749466667,0.6649016266200001,0.7009826752057142,-0.1208
20190221,16.53,16.55,16.45,-0.1208,0.6079,2.1105,369300.56,659604.16,536433.01,0.49167890437499995,0.404365377525,0.37879626172499997,0.653832956075,0.6500407749466667,0.6649016266200001,-0.7864
20190222,16.4,16.53,16.55,-0.7864,-0.1208,0.6079,483511.61,369300.56,659604.16,0.41906211952499994,0.49167890437499995,0.404365377525,0.64045845693,0.653832956075,0.6500407749466667,1.2805
20190225,16.61,16.4,16.53,1.2805,-0.7864,-0.1208,585709.74,483511.61,369300.56,0.409701689775,0.47410956022500006,0.478146121725,0.5527201425460713,0.6249125503557142,0.6439842960830952,6.5021
20190226,17.69,16.61,16.4,6.5021,1.2805,-0.7864,1775100.91,585709.74,483511.61,0.36211673362499996,0.409701689775,0.47410956022500006,0.5512086529999999,0.5527201425460713,0.6249125503557142,-1.8089
