,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,25.4,25.05,25.29,1.32,-0.1996,0.4813,340140.62,214382.02,427154.85,0.3695895983781817,0.3270610026463636,0.26295822303272726,0.7015416886654545,0.6807093281413636,0.6077407786993939,-0.8685
20190111,25.22,25.4,25.05,-0.8685,1.32,-0.1996,224649.2,340140.62,214382.02,0.34152566477318186,0.3695895983781817,0.3270610026463636,0.7341098367114992,0.7015416886654545,0.6807093281413636,0.7567
20190114,25.1,25.22,25.4,0.7567,-0.8685,1.32,240694.9,224649.2,340140.62,0.2218081657247727,0.2606690097777272,0.2923604777938636,0.6641819172637616,0.676529614184525,0.6824088177518659,-1.1067
20190115,25.13,25.1,25.22,-1.1067,0.7567,-0.8685,183281.34,240694.9,224649.2,0.19765714438499998,0.2218081657247727,0.2606690097777272,0.6791391597641318,0.6641819172637616,0.676529614184525,0.5596
20190116,25.0,25.13,25.1,0.5596,-1.1067,0.7567,368758.85,183281.34,240694.9,0.15404518277999998,0.19765714438499998,0.2218081657247727,0.6819126568797631,0.6791391597641318,0.6641819172637616,1.0334
20190117,25.15,25.0,25.13,1.0334,0.5596,-1.1067,267466.06,368758.85,183281.34,0.2061860051822727,0.15404518277999998,0.19765714438499998,0.6784771140682578,0.6819126568797631,0.6791391597641318,-1.7703
20190118,25.5,25.15,25.0,-1.7703,1.0334,0.5596,245895.86,267466.06,368758.85,0.15979008876,0.2061860051822727,0.15404518277999998,0.6890230038434952,0.6784771140682578,0.6819126568797631,3.1638
20190121,25.0,25.5,25.15,3.1638,-1.7703,1.0334,365723.28,245895.86,267466.06,0.1834888741059091,0.14556161264181822,0.12468254135318181,0.7180927935946138,0.7143651463954699,0.7059004961057643,-0.427
20190122,25.71,25.0,25.5,-0.427,3.1638,-1.7703,255499.85,365723.28,245895.86,0.17057669390795455,0.1834888741059091,0.14556161264181822,0.7405617454781793,0.7180927935946138,0.7143651463954699,-0.9747
20190123,25.5,25.71,25.0,-0.9747,-0.427,3.1638,379336.8,255499.85,365723.28,0.25179188396045454,0.17057669390795455,0.1834888741059091,0.7564404763480853,0.7405617454781793,0.7180927935946138,-0.3543
20190124,25.35,25.5,25.71,-0.3543,-0.9747,-0.427,146847.03,379336.8,255499.85,0.3051871812009091,0.25179188396045454,0.17057669390795455,0.7802267383208059,0.7564404763480853,0.7405617454781793,0.3951
20190125,25.42,25.35,25.5,0.3951,-0.3543,-0.9747,234931.05,146847.03,379336.8,0.27618121206681817,0.3051871812009091,0.25179188396045454,0.7802124195792172,0.7802267383208059,0.7564404763480853,2.7155
20190128,25.51,25.42,25.35,2.7155,0.3951,-0.3543,451756.17,234931.05,146847.03,0.2563463386875,0.28584409587500004,0.32584737904568184,0.7998273201442283,0.769082642831689,0.7883607042477033,-0.1533
20190129,26.2,25.51,25.42,-0.1533,2.7155,0.3951,308906.56,451756.17,234931.05,0.219884996625,0.2563463386875,0.28584409587500004,0.7934526567292735,0.7998273201442283,0.769082642831689,3.1466
20190130,25.91,26.2,25.51,3.1466,-0.1533,2.7155,368071.63,308906.56,451756.17,0.2567555196875,0.219884996625,0.2563463386875,0.8035167538644736,0.7934526567292735,0.7998273201442283,1.2277
20190131,26.7,25.91,26.2,1.2277,3.1466,-0.1533,592303.18,368071.63,308906.56,0.21465881999999997,0.2567555196875,0.219884996625,0.8040495665318803,0.8035167538644736,0.7934526567292735,1.9846
20190201,27.39,26.7,25.91,1.9846,1.2277,3.1466,411857.6,592303.18,368071.63,0.30755208468749995,0.21465881999999997,0.2567555196875,0.7822979152445702,0.8040495665318803,0.8035167538644736,-0.2523
20190211,28.15,27.39,26.7,-0.2523,1.9846,1.2277,518543.17,411857.6,592303.18,0.11097524932500002,0.1610180604,0.204245113125,0.6854324577152182,0.6594635575823626,0.6345481050909021,-0.0361
20190212,27.27,28.15,27.39,-0.0361,-0.2523,1.9846,448513.22,518543.17,411857.6,0.0819046569,0.11097524932500002,0.1610180604,0.7211776775035714,0.6854324577152182,0.6594635575823626,-0.9758
20190213,27.45,27.27,28.15,-0.9758,-0.0361,-0.2523,510238.63,448513.22,518543.17,0.21013798417500001,0.0819046569,0.11097524932500002,0.7336848065276785,0.7211776775035714,0.6854324577152182,1.3504
20190214,27.35,27.45,27.27,1.3504,-0.9758,-0.0361,671739.48,510238.63,448513.22,0.19036221479999998,0.21013798417500001,0.0819046569,0.7221985884589286,0.7336848065276785,0.7211776775035714,-1.1883
20190215,27.59,27.35,27.45,-1.1883,1.3504,-0.9758,548813.88,671739.48,510238.63,0.2841967677,0.19036221479999998,0.21013798417500001,0.7351967964348214,0.7221985884589286,0.7336848065276785,-3.2434
20190218,27.29,27.59,27.35,-3.2434,-1.1883,1.3504,622319.82,548813.88,671739.48,0.42764064664285717,0.4361203867285714,0.3405965660571429,0.7520335486870715,0.7257380115488572,0.7498919162486428,2.4482
20190219,26.85,27.29,27.59,2.4482,-3.2434,-1.1883,689164.95,622319.82,548813.88,0.498831339375,0.42764064664285717,0.4361203867285714,0.7528032045957855,0.7520335486870715,0.7257380115488572,-0.625
20190220,27.35,26.85,27.29,-0.625,2.4482,-3.2434,581793.8,689164.95,622319.82,0.45633666540000006,0.498831339375,0.42764064664285717,0.73421175567,0.7528032045957855,0.7520335486870715,2.2198
20190221,27.0,27.35,26.85,2.2198,-0.625,2.4482,708069.79,581793.8,689164.95,0.5418987382607143,0.45633666540000006,0.498831339375,0.6742477301699414,0.73421175567,0.7528032045957855,-2.4611
20190222,27.5,27.0,27.35,-2.4611,2.2198,-0.625,616527.27,708069.79,581793.8,0.5702076681,0.5418987382607143,0.45633666540000006,0.6384285831406638,0.6742477301699414,0.73421175567,0.0742
20190225,26.87,27.5,27.0,0.0742,-2.4611,2.2198,616049.02,616527.27,708069.79,0.5697991150178572,0.5611828213285714,0.6312533149892857,0.7029488926451932,0.6864418327672448,0.6476087627748138,5.2651
20190226,27.0,26.87,27.5,5.2651,0.0742,-2.4611,1328512.83,616049.02,616527.27,0.5402038283428572,0.5697991150178572,0.5611828213285714,0.7193826597179049,0.7029488926451932,0.6864418327672448,-2.1134
20190227,28.46,27.0,26.87,-2.1134,5.2651,0.0742,982519.78,1328512.83,616049.02,0.5722502759892858,0.5402038283428572,0.5697991150178572,0.7247116855621691,0.7193826597179049,0.7029488926451932,0.7917
20190228,27.79,28.46,27.0,0.7917,-2.1134,5.2651,919166.28,982519.78,1328512.83,0.6361082683571428,0.5722502759892858,0.5402038283428572,0.724054248064772,0.7247116855621691,0.7193826597179049,-0.0714
20190301,27.8,27.79,28.46,-0.0714,0.7917,-2.1134,606374.98,919166.28,982519.78,0.5536029201714285,0.6361082683571428,0.5722502759892858,0.7189028709918119,0.724054248064772,0.7247116855621691,1.965
20190304,28.1,27.8,27.79,1.965,-0.0714,0.7917,851785.37,606374.98,919166.28,0.35877272154285716,0.4389416437142857,0.47534538475714283,0.725566891029411,0.6838652009330226,0.6737941084688663,4.0645
20190305,28.8,28.1,27.8,4.0645,1.965,-0.0714,1414795.23,851785.37,606374.98,0.34144099873865547,0.35877272154285716,0.4389416437142857,0.7039010781077096,0.725566891029411,0.6838652009330226,0.8081
20190306,29.69,28.8,28.1,0.8081,4.0645,1.965,835555.95,1414795.23,851785.37,0.35481448982226893,0.34144099873865547,0.35877272154285716,0.6906510111859616,0.7039010781077096,0.725566891029411,-1.5364
20190307,30.11,29.69,28.8,-1.5364,0.8081,4.0645,813470.26,835555.95,1414795.23,0.38734694637310924,0.35481448982226893,0.34144099873865547,0.6795155702687684,0.6906510111859616,0.7039010781077096,-3.0868
20190308,29.35,30.11,29.69,-3.0868,-1.5364,0.8081,744106.87,813470.26,835555.95,0.3906291445411764,0.38734694637310924,0.35481448982226893,0.7010492010524176,0.6795155702687684,0.6906510111859616,-4.0952
20190311,28.02,29.35,30.11,-4.0952,-3.0868,-1.5364,837383.06,744106.87,813470.26,0.4895839231058824,0.5252829588147059,0.4362652143764706,0.6920047863931507,0.7052281059569505,0.6969604708612225,0.1825
20190312,27.0,28.02,29.35,0.1825,-4.0952,-3.0868,968609.59,837383.06,744106.87,0.46758318525,0.4895839231058824,0.5252829588147059,0.6580908279585989,0.6920047863931507,0.7052281059569505,0.0
20190313,28.0,27.0,28.02,0.0,0.1825,-4.0952,796192.89,968609.59,837383.06,0.46823127539705883,0.46758318525,0.4895839231058824,0.6844599692922377,0.6580908279585989,0.6920047863931507,1.3115
20190314,27.4,28.0,27.0,1.3115,0.0,0.1825,791460.59,796192.89,968609.59,0.4333351968220588,0.46823127539705883,0.46758318525,0.6746456450244624,0.6844599692922377,0.6580908279585989,-1.2585
20190315,27.5,27.4,28.0,-1.2585,1.3115,0.0,575706.24,791460.59,796192.89,0.36016894665,0.4333351968220588,0.46823127539705883,0.6504543626559828,0.6746456450244624,0.6844599692922377,2.2214
20190318,27.5,27.5,27.4,2.2214,-1.2585,1.3115,778181.37,575706.24,791460.59,0.24908724952499997,0.30357549105,0.37589285412499995,0.6444255027635991,0.6478666323699197,0.6567794337634698,4.6313
20190319,28.06,27.5,27.5,4.6313,2.2214,-1.2585,984627.78,778181.37,575706.24,0.29075190288749997,0.24908724952499997,0.30357549105,0.6288275157990246,0.6444255027635991,0.6478666323699197,-0.7491
20190320,29.4,28.06,27.5,-0.7491,4.6313,2.2214,769978.94,984627.78,778181.37,0.327794633625,0.29075190288749997,0.24908724952499997,0.6359362046056937,0.6288275157990246,0.6444255027635991,1.3036
20190321,29.15,29.4,28.06,1.3036,-0.7491,4.6313,618588.58,769978.94,984627.78,0.35523866382749997,0.327794633625,0.29075190288749997,0.6479697221687251,0.6359362046056937,0.6288275157990246,0.0677
20190322,29.63,29.15,29.4,0.0677,1.3036,-0.7491,673372.69,618588.58,769978.94,0.31750951363499996,0.35523866382749997,0.327794633625,0.626070210209181,0.6479697221687251,0.6359362046056937,-1.2183
20190325,29.38,29.63,29.15,-1.2183,0.0677,1.3036,403115.17,673372.69,618588.58,0.1991834421375,0.23861343023999998,0.2760335991975,0.5764165298799703,0.5326789916932491,0.6197997230050157,-3.5286
20190326,28.84,29.38,29.63,-3.5286,-1.2183,0.0677,485411.76,403115.17,673372.69,0.23473390088999996,0.1991834421375,0.23861343023999998,0.5873767442271093,0.5764165298799703,0.5326789916932491,0.4616
20190327,28.51,28.84,29.38,0.4616,-3.5286,-1.2183,614437.94,485411.76,403115.17,0.28850392543370684,0.23473390088999996,0.1991834421375,0.576844492432124,0.5873767442271093,0.5764165298799703,2.333
20190328,28.55,28.51,28.84,2.333,0.4616,-3.5286,456424.21,614437.94,485411.76,0.3023350932703448,0.28850392543370684,0.23473390088999996,0.5803548696458171,0.576844492432124,0.5873767442271093,-0.5181
20190329,28.8,28.55,28.51,-0.5181,2.333,0.4616,517324.89,456424.21,614437.94,0.3134191265870443,0.3023350932703448,0.28850392543370684,0.5813527170469566,0.5803548696458171,0.576844492432124,6.6667
20190401,28.8,28.8,28.55,6.6667,-0.5181,2.333,970329.93,517324.89,456424.21,0.3587425032396552,0.2887912880143781,0.3182290967855911,0.6142615267548304,0.5869887994217773,0.5888276232690398,4.3945
20190402,31.02,28.8,28.8,4.3945,6.6667,-0.5181,1078515.11,970329.93,517324.89,0.34739687316142237,0.3587425032396552,0.2887912880143781,0.6616360678216293,0.6142615267548304,0.5869887994217773,-0.2495
20190403,32.13,31.02,28.8,-0.2495,4.3945,6.6667,509272.85,1078515.11,970329.93,0.3399068193130131,0.34739687316142237,0.3587425032396552,0.6716595808388665,0.6616360678216293,0.6142615267548304,1.563
20190404,31.88,32.13,31.02,1.563,-0.2495,4.3945,453116.53,509272.85,1078515.11,0.38732488949442734,0.3399068193130131,0.34739687316142237,0.671421396229601,0.6716595808388665,0.6616360678216293,-0.831
20190408,32.5,31.88,32.13,-0.831,1.563,-0.2495,692092.74,453116.53,509272.85,0.27809561400625,0.22244171811071428,0.2697517558967262,0.5316867777069851,0.5414224478509878,0.6317053866078046,-2.1105
