,open-1,open-2,open-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,11.46,11.35,11.39,-0.5272,-0.0878,0.7965,170021.46,122252.6,212181.12,0.2704856295,0.302643212,0.23319150900000002,0.578468910775,0.6492788436000001,0.5617871271666667,-1.5901
20190111,11.29,11.46,11.35,-1.5901,-0.5272,-0.0878,120063.75,170021.46,122252.6,0.23078950199999995,0.2704856295,0.302643212,0.6175199435666665,0.578468910775,0.6492788436000001,0.1795
20190114,11.14,11.29,11.46,0.1795,-1.5901,-0.5272,123527.98,120063.75,170021.46,0.09710783099999999,0.12878161199999996,0.1835548295,0.47651129479166665,0.5629913255,0.658137410725,-1.0753
20190115,11.17,11.14,11.29,-1.0753,0.1795,-1.5901,113502.73,123527.98,120063.75,0.060813408,0.09710783099999999,0.12878161199999996,0.48303639099999995,0.47651129479166665,0.5629913255,0.9058
20190116,11.06,11.17,11.14,0.9058,-1.0753,0.1795,198029.07,113502.73,123527.98,0.0484606845,0.060813408,0.09710783099999999,0.421287814125,0.48303639099999995,0.47651129479166665,-1.6158
20190117,11.13,11.06,11.17,-1.6158,0.9058,-1.0753,233733.07,198029.07,113502.73,0.03420754199999999,0.0484606845,0.060813408,0.48837013316666666,0.421287814125,0.48303639099999995,-0.6387
20190118,10.99,11.13,11.06,-0.6387,-1.6158,0.9058,139555.89,233733.07,198029.07,0.018053980499999994,0.03420754199999999,0.0484606845,0.39977890312500003,0.48837013316666666,0.421287814125,2.5712
20190121,10.93,10.99,11.13,2.5712,-0.6387,-1.6158,417404.34,139555.89,233733.07,0.0,0.0,0.0,0.19918141499999997,0.26688671524999996,0.32467831799999997,-0.5372
20190122,11.18,10.93,10.99,-0.5372,2.5712,-0.6387,254052.09,417404.34,139555.89,0.0,0.0,0.0,0.1480892235,0.19918141499999997,0.26688671524999996,-2.2502
20190123,11.09,11.18,10.93,-2.2502,-0.5372,2.5712,231755.6,254052.09,417404.34,0.0,0.0,0.0,0.120186726,0.1480892235,0.19918141499999997,-0.8287
20190124,10.86,11.09,11.18,-0.8287,-2.2502,-0.5372,176534.54,231755.6,254052.09,0.0,0.0,0.0,0.19448309149999998,0.120186726,0.1480892235,-1.5785
20190125,10.77,10.86,11.09,-1.5785,-0.8287,-2.2502,245224.34,176534.54,231755.6,0.0,0.0,0.0,0.15656337899999997,0.19448309149999998,0.120186726,0.4717
20190128,10.62,10.77,10.86,0.4717,-1.5785,-0.8287,167843.24,245224.34,176534.54,0.0,0.0,0.0,0.254184366,0.2081682115,0.241517541,0.5634
20190129,10.7,10.62,10.77,0.5634,0.4717,-1.5785,218671.77,167843.24,245224.34,0.0,0.0,0.0,0.3544170971538461,0.254184366,0.2081682115,0.0
20190130,10.64,10.7,10.62,0.0,0.5634,0.4717,134025.18,218671.77,167843.24,0.13247579999999998,0.0,0.0,0.3319621366923077,0.3544170971538461,0.254184366,-1.1204
20190131,10.62,10.64,10.7,-1.1204,0.0,0.5634,128253.51,134025.18,218671.77,0.131151042,0.13247579999999998,0.0,0.4417104533076922,0.3319621366923077,0.3544170971538461,0.3777
20190201,10.65,10.62,10.64,0.3777,-1.1204,0.0,161977.68,128253.51,134025.18,0.127176768,0.131151042,0.13247579999999998,0.4738927634999999,0.4417104533076922,0.3319621366923077,0.8467
20190211,10.73,10.65,10.62,0.8467,0.3777,-1.1204,165211.63,161977.68,128253.51,0.0,0.0,0.0,0.295626094375,0.34130701799999996,0.403927090875,2.3321
20190212,10.71,10.73,10.65,2.3321,0.8467,0.3777,268637.42,165211.63,161977.68,0.0,0.0,0.0,0.2553356715,0.295626094375,0.34130701799999996,1.9143
20190213,10.95,10.71,10.73,1.9143,2.3321,0.8467,310312.42,268637.42,165211.63,0.0,0.0,0.0,0.350909783,0.2553356715,0.295626094375,0.8945
20190214,11.19,10.95,10.71,0.8945,1.9143,2.3321,333315.27,310312.42,268637.42,0.0,0.0,0.0,0.35765892475,0.350909783,0.2553356715,-0.4433
20190215,11.3,11.19,10.95,-0.4433,0.8945,1.9143,233893.27,333315.27,310312.42,0.0,0.0,0.0,0.3186925114125,0.35765892475,0.350909783,-0.9795
20190218,11.16,11.3,11.19,-0.9795,-0.4433,0.8945,177439.93,233893.27,333315.27,0.0,0.0,0.0,0.26426561535,0.3337376297125,0.3918304873999999,2.7878
20190219,11.19,11.16,11.3,2.7878,-0.9795,-0.4433,304220.42,177439.93,233893.27,0.0,0.0,0.0,0.2141272173125,0.26426561535,0.3337376297125,-0.35
20190220,11.52,11.19,11.16,-0.35,2.7878,-0.9795,260626.49,304220.42,177439.93,0.12369157499999998,0.0,0.0,0.3140460906,0.2141272173125,0.26426561535,0.0
20190221,11.43,11.52,11.19,0.0,-0.35,2.7878,147119.22,260626.49,304220.42,0.12245465924999999,0.12369157499999998,0.0,0.4158404643375,0.3140460906,0.2141272173125,-1.1414
20190222,11.39,11.43,11.52,-1.1414,0.0,-0.35,263158.13,147119.22,260626.49,0.11874391199999998,0.12245465924999999,0.12369157499999998,0.37153204264999995,0.4158404643375,0.3140460906,0.9769
20190225,11.26,11.39,11.43,0.9769,-1.1414,0.0,243414.15,263158.13,147119.22,0.09276868125,0.10390092299999999,0.11255933324999999,0.233729017125,0.2753885025,0.3163897725375,7.5638
20190226,11.47,11.26,11.39,7.5638,0.9769,-1.1414,853170.08,243414.15,263158.13,0.079162608,0.09276868125,0.10390092299999999,0.184356819,0.233729017125,0.2753885025,2.0442
20190227,12.22,11.47,11.26,2.0442,7.5638,0.9769,976878.34,853170.08,243414.15,0.15340173182142858,0.079162608,0.09276868125,0.27712138398214287,0.184356819,0.233729017125,1.5224
20190228,12.46,12.22,11.47,1.5224,2.0442,7.5638,539481.73,976878.34,853170.08,0.13394480528571426,0.15340173182142858,0.079162608,0.3425561754285714,0.27712138398214287,0.184356819,-2.5257
20190301,12.6,12.46,12.22,-2.5257,1.5224,2.0442,311660.08,539481.73,976878.34,0.11020766667857142,0.13394480528571426,0.15340173182142858,0.4193464273392856,0.3425561754285714,0.27712138398214287,1.1336
20190304,12.42,12.6,12.46,1.1336,-2.5257,1.5224,322063.03,311660.08,539481.73,0.06773927142857143,0.075867984,0.08219031600000001,0.39117074164285714,0.41888040092857143,0.4634689677857143,0.6405
20190305,12.62,12.42,12.6,0.6405,1.1336,-2.5257,696348.6,322063.03,311660.08,0.05780417828571429,0.06773927142857143,0.075867984,0.4132224604285714,0.39117074164285714,0.41888040092857143,1.432
