,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,6.73,6.64,6.57,1.3554,1.0654,0.9217,451904.34,341903.62,461663.91,0.0,0.0,0.0,0.6035326655678936,0.6130738508193735,0.5811798989226142,-0.7429
20190111,6.68,6.73,6.64,-0.7429,1.3554,1.0654,300893.6,451904.34,341903.62,0.0,0.0,0.0,0.6186597022601174,0.6035326655678936,0.6130738508193735,0.8982
20190114,6.74,6.68,6.73,0.8982,-0.7429,1.3554,244867.1,300893.6,451904.34,0.0,0.0,0.0,0.5588456508274703,0.6432711535449057,0.6358369870191214,0.1484
20190115,6.75,6.74,6.68,0.1484,0.8982,-0.7429,293636.69,244867.1,300893.6,0.0,0.0,0.0,0.5773201296901486,0.5588456508274703,0.6432711535449057,0.5926
20190116,6.79,6.75,6.74,0.5926,0.1484,0.8982,304009.47,293636.69,244867.1,0.0,0.0,0.0,0.6132262394696071,0.5773201296901486,0.5588456508274703,0.2946
20190117,6.81,6.79,6.75,0.2946,0.5926,0.1484,237018.97,304009.47,293636.69,0.0,0.0,0.0,0.6451976901291153,0.6132262394696071,0.5773201296901486,-0.5874
20190118,6.77,6.81,6.79,-0.5874,0.2946,0.5926,272193.49,237018.97,304009.47,0.0,0.0,0.0,0.6444518483830962,0.6451976901291153,0.6132262394696071,2.3634
20190121,6.93,6.77,6.81,2.3634,-0.5874,0.2946,650355.7,272193.49,237018.97,0.226736607,0.1107343,0.0,0.7218187503434783,0.689783771931087,0.6631525139859309,2.0202
20190122,7.07,6.93,6.77,2.0202,2.3634,-0.5874,515033.39,650355.7,272193.49,0.3533998815,0.226736607,0.1107343,0.7450384540615663,0.7218187503434783,0.689783771931087,-1.6973
20190123,6.95,7.07,6.93,-1.6973,2.0202,2.3634,269433.74,515033.39,650355.7,0.343038313,0.3533998815,0.226736607,0.749989962481505,0.7450384540615663,0.7218187503434783,-1.0072
20190124,6.88,6.95,7.07,-1.0072,-1.6973,2.0202,365601.51,269433.74,515033.39,0.45883098750000006,0.343038313,0.3533998815,0.7502841310367557,0.749989962481505,0.7450384540615663,-0.1453
20190125,6.87,6.88,6.95,-0.1453,-1.0072,-1.6973,347645.11,365601.51,269433.74,0.4327760625,0.45883098750000006,0.343038313,0.7083187164785689,0.7502841310367557,0.749989962481505,1.1645
20190128,6.95,6.87,6.88,1.1645,-0.1453,-1.0072,352721.18,347645.11,365601.51,0.2955311355,0.3511261365,0.39687444550000006,0.622309779549214,0.6260092253606313,0.689314022493194,-1.4388
20190129,6.85,6.95,6.87,-1.4388,1.1645,-0.1453,447028.14,352721.18,347645.11,0.23008944250000002,0.2955311355,0.3511261365,0.6098336779514423,0.622309779549214,0.6260092253606313,1.7518
20190130,6.97,6.85,6.95,1.7518,-1.4388,1.1645,431503.51,447028.14,352721.18,0.1827714075,0.23008944250000002,0.2955311355,0.6103371006530769,0.6098336779514423,0.622309779549214,-0.4304
20190131,6.94,6.97,6.85,-0.4304,1.7518,-1.4388,307743.66,431503.51,447028.14,0.12061083,0.1827714075,0.23008944250000002,0.573185321445778,0.6103371006530769,0.6098336779514423,1.0086
20190201,7.01,6.94,6.97,1.0086,-0.4304,1.7518,389891.96,307743.66,431503.51,0.07485186599999999,0.12061083,0.1827714075,0.580889225775,0.573185321445778,0.6103371006530769,0.8559
20190211,7.07,7.01,6.94,0.8559,1.0086,-0.4304,298839.47,389891.96,307743.66,0.0,0.0,0.0,0.4083310540499999,0.48868904542499997,0.5653053434154545,0.2829
20190212,7.09,7.07,7.01,0.2829,0.8559,1.0086,455705.0,298839.47,389891.96,0.0,0.0,0.0,0.40906504695,0.4083310540499999,0.48868904542499997,-0.4231
20190213,7.06,7.09,7.07,-0.4231,0.2829,0.8559,504845.75,455705.0,298839.47,0.0,0.0,0.0,0.4234325388214285,0.40906504695,0.4083310540499999,1.5581
20190214,7.17,7.06,7.09,1.5581,-0.4231,0.2829,590486.98,504845.75,455705.0,0.0,0.0,0.0,0.4744904252857143,0.4234325388214285,0.40906504695,0.1395
20190215,7.18,7.17,7.06,0.1395,1.5581,-0.4231,519433.24,590486.98,504845.75,0.0,0.0,0.0,0.4983999072535715,0.4744904252857143,0.4234325388214285,-2.2284
20190218,7.02,7.18,7.17,-2.2284,0.1395,1.5581,467519.14,519433.24,590486.98,0.0,0.0,0.0,0.5353100355985714,0.618724267445,0.5619876705300001,1.567
20190219,7.13,7.02,7.18,1.567,-2.2284,0.1395,625428.44,467519.14,519433.24,0.0,0.0,0.0,0.5683081050868681,0.5353100355985714,0.618724267445,0.1403
20190220,7.14,7.13,7.02,0.1403,1.567,-2.2284,620184.28,625428.44,467519.14,0.0,0.0,0.0,0.5713805524291209,0.5683081050868681,0.5353100355985714,0.5602
20190221,7.18,7.14,7.13,0.5602,0.1403,1.567,372849.68,620184.28,625428.44,0.0,0.0,0.0,0.5525144043921129,0.5713805524291209,0.5683081050868681,-0.9749
20190222,7.11,7.18,7.14,-0.9749,0.5602,0.1403,444507.22,372849.68,620184.28,0.0,0.0,0.0,0.5691109932342857,0.5525144043921129,0.5713805524291209,0.5626
20190225,7.15,7.11,7.18,0.5626,-0.9749,0.5602,399936.21,444507.22,372849.68,0.137508192,0.141805323,0.1432377,0.4980388111751748,0.5830265777311738,0.5943086227913537,5.8741
20190226,7.57,7.15,7.11,5.8741,0.5626,-0.9749,1301555.12,399936.21,444507.22,0.13034630700000002,0.137508192,0.141805323,0.5224382427183566,0.4980388111751748,0.5830265777311738,0.9247
20190227,7.64,7.57,7.15,0.9247,5.8741,0.5626,1558758.35,1301555.12,399936.21,0.120319668,0.13034630700000002,0.137508192,0.5254872956307193,0.5224382427183566,0.4980388111751748,-1.4398
20190228,7.53,7.64,7.57,-1.4398,0.9247,5.8741,786883.18,1558758.35,1301555.12,0.107428275,0.120319668,0.13034630700000002,0.5652896428122627,0.5254872956307193,0.5224382427183566,-0.3984
20190301,7.5,7.53,7.64,-0.3984,-1.4398,0.9247,534831.38,786883.18,1558758.35,0.091672128,0.107428275,0.120319668,0.590730208887987,0.5652896428122627,0.5254872956307193,1.4667
20190304,7.61,7.5,7.53,1.4667,-0.3984,-1.4398,710400.94,534831.38,786883.18,0.027215162999999994,0.05156557199999998,0.073051227,0.43584483927499995,0.5192836083892857,0.5788660630405844,1.1827
20190305,7.7,7.61,7.5,1.1827,1.4667,-0.3984,922842.81,710400.94,534831.38,0.0,0.027215162999999994,0.05156557199999998,0.480310725425,0.43584483927499995,0.5192836083892857,0.1299
20190306,7.71,7.7,7.61,0.1299,1.1827,1.4667,534986.05,922842.81,710400.94,0.0,0.0,0.027215162999999994,0.49522308166249995,0.480310725425,0.43584483927499995,1.4267
20190307,7.82,7.71,7.7,1.4267,0.1299,1.1827,1068238.71,534986.05,922842.81,0.0,0.0,0.0,0.5273825974596154,0.49522308166249995,0.480310725425,-0.5115
20190308,7.78,7.82,7.71,-0.5115,1.4267,0.1299,923536.04,1068238.71,534986.05,0.0,0.0,0.0,0.5228612057932692,0.5273825974596154,0.49522308166249995,-5.1414
20190311,7.38,7.78,7.82,-5.1414,-0.5115,1.4267,854190.35,923536.04,1068238.71,0.0,0.0,0.0,0.5604095727730769,0.48551139826249995,0.5597292553942308,0.4065
20190312,7.41,7.38,7.78,0.4065,-5.1414,-0.5115,745900.68,854190.35,923536.04,0.0,0.0,0.0,0.5970853326509615,0.5604095727730769,0.48551139826249995,0.9447
20190313,7.48,7.41,7.38,0.9447,0.4065,-5.1414,861885.85,745900.68,854190.35,0.12702225,0.0,0.0,0.5594093343461538,0.5970853326509615,0.5604095727730769,-1.2032
20190314,7.39,7.48,7.41,-1.2032,0.9447,0.4065,613612.91,861885.85,745900.68,0.1257520275,0.12702225,0.0,0.5807967944086538,0.5594093343461538,0.5970853326509615,-1.2179
20190315,7.3,7.39,7.48,-1.2179,-1.2032,0.9447,657804.64,613612.91,861885.85,0.12194135999999998,0.1257520275,0.12702225,0.5689532874884615,0.5807967944086538,0.5594093343461538,0.274
20190318,7.32,7.3,7.39,0.274,-1.2179,-1.2032,625539.54,657804.64,613612.91,0.0952666875,0.10669869,0.1155902475,0.6663618564749999,0.6299697261499999,0.5892159904730769,3.4153
20190319,7.57,7.32,7.3,3.4153,0.274,-1.2179,992562.31,625539.54,657804.64,0.08129424,0.0952666875,0.10669869,0.6888132243115384,0.6663618564749999,0.6299697261499999,-0.7926
20190320,7.51,7.57,7.32,-0.7926,3.4153,0.274,672942.58,992562.31,625539.54,0.0647813475,0.08129424,0.0952666875,0.6930604713246503,0.6888132243115384,0.6663618564749999,-0.7989
20190321,7.45,7.51,7.57,-0.7989,-0.7926,3.4153,625653.18,672942.58,992562.31,0.04572800999999998,0.0647813475,0.08129424,0.7059076244230769,0.6930604713246503,0.6888132243115384,-0.4027
20190322,7.42,7.45,7.51,-0.4027,-0.7989,-0.7926,680793.93,625653.18,672942.58,0.02413422749999999,0.04572800999999998,0.0647813475,0.7134835066901515,0.7059076244230769,0.6930604713246503,-0.1348
20190325,7.41,7.42,7.45,-0.1348,-0.4027,-0.7989,472900.52,680793.93,625653.18,0.0,0.0,0.0,0.7833361431782635,0.7731391328302446,0.7311544977925408,-2.834
20190326,7.2,7.41,7.42,-2.834,-0.1348,-0.4027,775310.19,472900.52,680793.93,0.0,0.0,0.0,0.7685092135615968,0.7833361431782635,0.7731391328302446,-1.3889
20190327,7.1,7.2,7.41,-1.3889,-2.834,-0.1348,567288.11,775310.19,472900.52,0.0,0.0,0.0,0.7567212692631994,0.7685092135615968,0.7833361431782635,0.4225
20190328,7.13,7.1,7.2,0.4225,-1.3889,-2.834,412887.58,567288.11,775310.19,0.0,0.0,0.0,0.7307013028783251,0.7567212692631994,0.7685092135615968,-0.7013
20190329,7.08,7.13,7.1,-0.7013,0.4225,-1.3889,359576.29,412887.58,567288.11,0.0,0.0,0.0,0.7133389771157976,0.7307013028783251,0.7567212692631994,2.1186
20190401,7.23,7.08,7.13,2.1186,-0.7013,0.4225,762021.69,359576.29,412887.58,0.0,0.0,0.0,0.710678111751983,0.7090757966316622,0.7305329909937166,4.2877
20190402,7.54,7.23,7.08,4.2877,2.1186,-0.7013,1528880.51,762021.69,359576.29,0.0,0.0,0.0,0.7062614157171792,0.710678111751983,0.7090757966316622,0.5305
20190403,7.58,7.54,7.23,0.5305,4.2877,2.1186,1017797.51,1528880.51,762021.69,0.0,0.0,0.0,0.6876010155001671,0.7062614157171792,0.710678111751983,2.6385
20190404,7.78,7.58,7.54,2.6385,0.5305,4.2877,1078275.5,1017797.51,1528880.51,0.0,0.0,0.0,0.6905040003876457,0.6876010155001671,0.7062614157171792,-0.2571
20190408,7.76,7.78,7.58,-0.2571,2.6385,0.5305,1005089.21,1078275.5,1017797.51,0.0,0.0,0.0,0.49965399131557686,0.5960506292654166,0.6900776377326131,2.8351
20190409,7.98,7.76,7.78,2.8351,-0.2571,2.6385,1395185.03,1005089.21,1078275.5,0.110737425,0.0,0.0,0.486380049161422,0.49965399131557686,0.5960506292654166,-1.7544
20190410,7.84,7.98,7.76,-1.7544,2.8351,-0.2571,817106.78,1395185.03,1005089.21,0.10963005075,0.110737425,0.0,0.5008255124601888,0.486380049161422,0.49965399131557686,-0.3827
20190411,7.81,7.84,7.98,-0.3827,-1.7544,2.8351,659504.58,817106.78,1395185.03,0.106307928,0.10963005075,0.110737425,0.5216953323390157,0.5008255124601888,0.486380049161422,-1.6645
20190412,7.68,7.81,7.84,-1.6645,-0.3827,-1.7544,538366.38,659504.58,817106.78,0.23919675675000002,0.106307928,0.10963005075,0.5120099455099089,0.5216953323390157,0.5008255124601888,-1.4323
20190415,7.57,7.68,7.81,-1.4323,-1.6645,-0.3827,595309.44,538366.38,659504.58,0.196839339,0.21594174075,0.23006088000000002,0.5560384965024013,0.5549368409302512,0.5252914547312677,-0.6605
20190416,7.52,7.57,7.68,-0.6605,-1.4323,-1.6645,567897.21,595309.44,538366.38,0.17275367475,0.196839339,0.21594174075,0.5744294152713079,0.5560384965024013,0.5549368409302512,1.9947
20190417,7.67,7.52,7.57,1.9947,-0.6605,-1.4323,530980.8,567897.21,595309.44,0.14368474799999997,0.17275367475,0.196839339,0.6237157278562564,0.5744294152713079,0.5560384965024013,-0.1304
20190418,7.66,7.67,7.52,-0.1304,1.9947,-0.6605,445021.32,530980.8,567897.21,0.10963255875,0.14368474799999997,0.17275367475,0.6352462516631995,0.6237157278562564,0.5744294152713079,0.7833
20190419,7.72,7.66,7.67,0.7833,-0.1304,1.9947,485860.68,445021.32,530980.8,0.070597107,0.10963255875,0.14368474799999997,0.6349037260367798,0.6352462516631995,0.6237157278562564,0.2591
20190422,7.74,7.72,7.66,0.2591,0.7833,-0.1304,406365.56,485860.68,445021.32,0.0,0.026300882999999994,0.04983325199999998,0.5727729216907332,0.6579626929580303,0.6268482241538068,-2.0672
